gene_symbol,type,soc,auroc,wt_pvalue,ttest_statistic,ttest_pvalue
CYP3A5,enzyme,Eye disorders,0.217303240740741,0.999933617921374,-37.9037091634194,1
CYP3A7,enzyme,Eye disorders,0.150390625,0.999939007235859,-39.435170298811,1
CYP3A7-CYP3A51P,enzyme,Eye disorders,0.37181712962963,0.958090434999039,-9.71878870472356,1
CYP3A5,enzyme,Skin and subcutaneous tissue disorders,0.493656072924366,0.563618465955323,0.00671049801420252,0.497322982368276
CYP3A7,enzyme,Skin and subcutaneous tissue disorders,0.540277777777778,0.246160329050556,3.1883907873108,0.00072105694093296
CYP3A7-CYP3A51P,enzyme,Skin and subcutaneous tissue disorders,0.536992945326279,0.219704782756573,5.09942742096612,1.75831909874711e-07
CYP1A1,enzyme,Endocrine disorders,0.600877192982456,0.174530556326915,8.59195464041234,1.13163468787016e-17
CYP2C8,enzyme,Endocrine disorders,0.515625,0.428238310893186,0.672298494500168,0.250739289402082
CYP2C9,enzyme,Endocrine disorders,0.39021164021164,0.99730510371409,-21.7852185813691,1
CYP2C18,enzyme,Endocrine disorders,0.686111111111111,0.105445904192645,16.1104689952247,1.17549596206025e-48
CYP2C19,enzyme,Endocrine disorders,0.358585858585859,0.923417195698779,-12.0537187399391,1
CYP1A1,enzyme,Reproductive system and breast disorders,0.294573643410853,0.993555933450244,-18.0149570784199,1
CYP2C8,enzyme,Reproductive system and breast disorders,0.482783357245337,0.616098778944592,-1.02490190090793,0.84727532607524
CYP2C9,enzyme,Reproductive system and breast disorders,0.407620614035088,0.997732684679105,-20.6725623921147,1
CYP2C18,enzyme,Reproductive system and breast disorders,0.686921296296296,0.0383378930696398,19.0939720546749,6.59648640706144e-70
CYP2C19,enzyme,Reproductive system and breast disorders,0.369095816464238,0.948280153185332,-11.1669284901174,1
CYP2C19,enzyme,Skin and subcutaneous tissue disorders,0.57185122569738,0.201437454251592,6.71389337746834,1.26954379754643e-11
CYP2C8,enzyme,Metabolism and nutrition disorders,0.537808641975309,0.360422871349699,6.52846360416544,5.32773700595171e-11
CYP2C18,enzyme,Metabolism and nutrition disorders,0.583584337349398,0.285230875292994,8.93405745253466,5.96173049945702e-18
CYP2C19,enzyme,Metabolism and nutrition disorders,0.516599597585513,0.424556592049573,2.19899724397666,0.0139926375491669
CYP2C8,enzyme,Renal and urinary disorders,0.500816993464052,0.497879592164571,-0.623551509541173,0.733513263879156
CYP2C18,enzyme,Renal and urinary disorders,0.674679487179487,0.0527316321951981,13.2452505345337,1.04402724210359e-37
CYP2C19,enzyme,Renal and urinary disorders,0.609477124183007,0.160870398028736,10.6848934069985,2.58651871447192e-26
CYP2D6,enzyme,Investigations,0.443555555555556,0.757174631895245,-1.71859027175392,0.957078099226837
CYP2D6,enzyme,Cardiac disorders,0.499305555555556,0.505726743196539,2.74111877507556,0.00307369845695449
CYP2C8,enzyme,Cardiac disorders,0.456649831649832,0.715044429146048,-3.40264946281446,0.999661648087206
CYP2C19,enzyme,Cardiac disorders,0.4375,0.728871343742157,-6.55438294851596,0.999999999962063
CYP1A1,enzyme,Cardiac disorders,0.644736842105263,0.175651235717253,9.73213932060786,6.04133322436233e-21
CYP2C8,enzyme,"Respiratory, thoracic and mediastinal disorders",0.439102564102564,0.717242915962536,-2.0686107987314,0.980578831591734
CYP2C19,enzyme,"Respiratory, thoracic and mediastinal disorders",0.698412698412698,0.0502296456235376,11.6122408456727,1.22497792368432e-29
CYP2C8,enzyme,"Injury, poisoning and procedural complications",0.522594752186589,0.3938815690171,2.79751742242426,0.00260368287109224
CYP2C19,enzyme,"Injury, poisoning and procedural complications",0.603498542274053,0.190605811401439,7.22735736693692,4.57429192453332e-13
CYP1A1,enzyme,"Injury, poisoning and procedural complications",0.484313725490196,0.552937836906101,-1.21268830174478,0.88714926247456
CYP2D6,enzyme,Nervous system disorders,0.422628276116648,0.989830898587118,-14.4870124079031,1
CYP2D6,enzyme,General disorders and administration site conditions,0.405212842712843,0.937994960139469,-11.3996424153283,1
CYP1A1,enzyme,General disorders and administration site conditions,0.260548523206751,0.978157854423951,-16.9456622027292,1
CYP3A5,enzyme,General disorders and administration site conditions,0.576291079812207,0.0569953848265811,17.688837404464,1.03045387339895e-68
CYP2D6,enzyme,"Injury, poisoning and procedural complications",0.455119825708061,0.718228269037885,-3.37672541915739,0.999625866675236
CYP3A5,enzyme,"Injury, poisoning and procedural complications",0.531684027777778,0.30924686988992,5.55819116044441,1.46652892933663e-08
CYP2D6,enzyme,Skin and subcutaneous tissue disorders,0.516565393518519,0.393661613142246,0.747434288459473,0.227431944672556
CYP1A1,enzyme,Skin and subcutaneous tissue disorders,0.392857142857143,0.818212712330647,-1.55192099487882,0.939419421155791
CYP2D6,enzyme,Vascular disorders,0.583968253968254,0.0678388563534328,12.108404589353,2.04317788566299e-33
CYP1A1,enzyme,Vascular disorders,0.69551282051282,0.170080935473675,6.88104803671585,3.35021904154272e-11
CYP3A5,enzyme,Vascular disorders,0.480651519867206,0.665785138396327,-7.65329471737968,0.999999999999989
CYP2C19,enzyme,Nervous system disorders,0.375902992776058,0.9577919900233,-18.9958891841638,1
CYP2C9,enzyme,Nervous system disorders,0.4548133829706,0.953771283851958,-4.40412084132595,0.999994661783806
CYP2C9,enzyme,Renal and urinary disorders,0.572758838383838,0.0388565706983974,22.9214544082139,2.06776945853644e-114
CYP2D6,enzyme,Renal and urinary disorders,0.553062678062678,0.27348164185902,4.39996198521465,5.80634600950415e-06
CYP2D6,enzyme,Endocrine disorders,0.515873015873016,0.388985837398676,5.87527368553692,2.23734909038951e-09
CYP2D6,enzyme,Reproductive system and breast disorders,0.537792894935752,0.265592752026575,7.37687642645482,1.01413939171465e-13
CYP2D6,enzyme,Musculoskeletal and connective tissue disorders,0.438475105141772,0.887653347438143,-9.88558680488264,1
CYP3A5,enzyme,Cardiac disorders,0.484722222222222,0.601246898829982,3.80733373496773,7.11004449240841e-05
CYP3A7,enzyme,Cardiac disorders,0.565540540540541,0.252947628696699,9.98266298776832,7.70948250090352e-23
CYP3A7-CYP3A51P,enzyme,Cardiac disorders,0.467267267267267,0.66101397997838,-0.245879596078724,0.597098747113185
CYP2C9,enzyme,Cardiac disorders,0.533398501140437,0.210187519932356,13.2609122422816,3.77425246760069e-40
CYP2E1,enzyme,Cardiac disorders,0.611213235294118,0.0251623163508679,18.6265382840708,2.84737188309997e-75
CYP2C19,enzyme,Psychiatric disorders,0.463636363636364,0.645935920562175,-5.3853961545874,0.999999958076869
CYP2C19,enzyme,Vascular disorders,0.486796785304248,0.562658123007776,-3.68654665584194,0.999883142585589
CYP27A1,enzyme,Skin and subcutaneous tissue disorders,0.607843137254902,0.304358064731201,4.89141065895843,9.71425432054343e-07
CYP11B2,enzyme,Skin and subcutaneous tissue disorders,0.276960784313726,0.863243079490073,1.02421052443059,0.153468139956426
CYP2C9,enzyme,Gastrointestinal disorders,0.430920314253648,0.959313765179896,-14.2913198255134,1
CYP2C19,enzyme,Gastrointestinal disorders,0.463327370304114,0.658693984281446,-4.78411209648433,0.999999086326401
CYP3A7,enzyme,Gastrointestinal disorders,0.475177304964539,0.632533324470449,-1.87431601812352,0.969495794298495
CYP3A7-CYP3A51P,enzyme,Gastrointestinal disorders,0.464933018124508,0.71921009978123,-1.50481198682848,0.933769837829325
CYP3A5,enzyme,Gastrointestinal disorders,0.442158616577221,0.864602068779507,-6.9032151492118,0.999999999997215
CYP2C9,enzyme,Hepatobiliary disorders,0.468810916179337,0.665761989950606,-8.68132983518082,1
CYP2C19,enzyme,Hepatobiliary disorders,0.55,0.430292539239495,6.08018185367108,1.82069738888026e-09
CYP3A7,enzyme,Hepatobiliary disorders,0.4375,0.714859204171862,-9.78856503133752,1
CYP3A7-CYP3A51P,enzyme,Hepatobiliary disorders,0.522376543209877,0.407436431269378,3.16220207033493,0.000796669317064048
