gene_symbol,probe
SLCO1B3,206354_at
SERPINA7,206386_at
CACNA1A,206399_x_at
CYP26A1,206424_at
DBH,206450_at
FMO3,206496_at
CYP24A1,206504_at
UGT2B4,206505_at
CYP4F3,206514_s_at
CYP4F2,206514_s_at
SLC2A2,206535_at
SLC2A4,206603_at
CYP2B6,206754_s_at
CYP2B6,206755_at
PDE5A,206757_at
CUBN,206775_at
ASMT,206779_s_at
POU2F1,206789_s_at
NAT2,206797_at
MTHFR,206800_at
CNNM2,206818_s_at
TRPV6,206827_s_at
SLC4A10,206830_at
SRD5A2,206938_at
ALDH1A2,207015_s_at
ALDH1A2,207016_s_at
CBLIF,207033_at
SLC6A9,207043_s_at
SLC8A1,207053_at
SLC4A8,207056_s_at
SLC16A7,207057_at
SLC10A2,207095_at
AKR1D1,207102_at
UGT1A1,207126_x_at
UGT1A10,207126_x_at
UGT1A8,207126_x_at
UGT1A6,207126_x_at
UGT1A9,207126_x_at
UGT1A4,207126_x_at
ATP4A,207139_at
SLC10A1,207185_at
SLC22A1,207201_s_at
F9,207218_at
CYP2A6,207244_x_at
UGT2B17,207245_at
SLC28A2,207249_s_at
SLC15A1,207254_at
F7,207300_s_at
SLCO1A2,207308_at
NOS1,207309_at
NOS1,207310_s_at
UGT2B15,207392_x_at
CYP4A11,207407_x_at
SLC22A2,207429_at
FXYD2,207434_s_at
FXYD6-FXYD2,207434_s_at
CYP2D6,207498_s_at
CYP2D7,207498_s_at
SLC6A4,207519_at
ADH6,207544_s_at
RYR2,207557_s_at
SLC28A1,207560_at
ASIC3,207561_s_at
ABCB8,207561_s_at
SLC13A2,207567_at
SLCO4C1,207596_at
SLC4A7,207603_at
SLC4A7,207604_s_at
CYP1A2,207608_x_at
CYP1A2,207609_s_at
CYP3A43,207773_x_at
CYP2R1,207786_at
ABCB4,207819_s_at
ADH1A,207820_at
HLCS,207833_s_at
CACNA1G,207869_s_at
S100G,207885_at
LNPEP,207904_s_at
TGM5,207911_s_at
CACNA1C,208020_s_at
CYP2C18,208126_s_at
CYP2C8,208147_s_at
ABCC3,208161_s_at
SLC34A1,208177_at
TRPV5,208267_at
POU5F1,208286_x_at
POU5F1B,208286_x_at
ABCB11,208288_at
CYP2A13,208327_at
CYP3A4,208367_x_at
SLC14A2,208409_at
CACNA1E,208432_s_at
ABCC6,208480_s_at
UGT1A3,208596_s_at
UGT1A10,208596_s_at
UGT1A8,208596_s_at
UGT1A7,208596_s_at
UGT1A6,208596_s_at
UGT1A5,208596_s_at
UGT1A9,208596_s_at
UGT1A4,208596_s_at
UGT1A1,208596_s_at
COMT,208817_at
COMT,208818_s_at
ADH5,208847_s_at
ADH5,208848_at
SLC1A5,208916_at
POR,208928_at
AK2,208967_s_at
AKR1C3,209160_at
ITPA,209171_at
CBR1,209213_at
SLC23A2,209236_at
SLC23A2,209237_s_at
ABCC5,209380_s_at
HLCS,209399_at
SLC12A4,209400_at
SLC12A4,209401_s_at
SLC12A4,209402_s_at
PPAT,209433_s_at
PPAT,209434_s_at
SERPINA5,209443_at
DGUOK,209549_s_at
PCYT2,209577_at
SULT1A3,209607_x_at
SULT1A4,209607_x_at
ADH1B,209612_s_at
ADH1B,209613_s_at
ADH1B,209614_at
CES1,209616_s_at
ABCC3,209641_s_at
CES2,209667_at
CES2,209668_x_at
SLC19A2,209681_at
AKR1C2,209699_x_at
ABCG2,209735_at
SLC19A1,209775_x_at
SLC19A1,209776_s_at
SLC19A1,209777_s_at
VLDLR,209822_s_at
CNNM2,209874_x_at
SLC4A7,209884_s_at
SLC16A1,209900_s_at
CYP2E1,209975_at
CYP2E1,209976_s_at
ABCB1,209993_at
ABCB1,209994_s_at
ABCB4,209994_s_at
SLC25A1,210010_s_at
IDO1,210029_at
NOS2,210037_s_at
SLC12A5,210040_at
SLC11A2,210047_at
RDH5,210106_at
DCTD,210137_s_at
SLC4A7,210286_s_at
XDH,210301_at
ACHE,210332_at
TPO,210342_s_at
SLC22A6,210343_s_at
SLC6A2,210353_s_at
SLCO1B1,210366_at
CACNA1G,210380_s_at
CYP4F2,210452_x_at
ADH7,210505_at
NQO1,210519_s_at
SLCO3A1,210542_s_at
ASMT,210551_s_at
AKR1C4,210558_at
SULT1A3,210580_x_at
SULT1A4,210580_x_at
TTPA,210614_at
IDS,210666_at
CYP3A4,210726_at
SLC4A4,210738_s_at
SLC4A4,210739_x_at
CACNA1A,210770_s_at
SLC8A1,210804_x_at
SLC16A7,210807_s_at
SLC6A5,210810_s_at
SRD5A1,210959_s_at
TGM2,211003_x_at
SRD5A1,211056_s_at
FOLR1,211074_at
SLC12A4,211112_at
ABCB11,211224_s_at
CYP4A11,211231_x_at
CYP2A6,211295_x_at
ALB,211298_s_at
CACNA1G,211314_at
CACNA1G,211315_s_at
SLC15A1,211349_at
GLS,211414_at
CYP3A43,211440_x_at
CYP3A43,211441_x_at
CYP3A43,211442_x_at
DPP4,211478_s_at
SLCO1A2,211480_s_at
SLCO1A2,211481_at
SLC4A4,211494_s_at
SLCO2B1,211557_x_at
SLC23A2,211572_s_at
TGM2,211573_x_at
SLC19A1,211576_s_at
CACNA1C,211592_s_at
AKR1C2,211653_x_at
POU2F2,211660_at
HNMT,211732_x_at
NDUFS7,211752_s_at
POU2F2,211771_s_at
IDS,211782_at
CACNA1G,211802_x_at
SLC8A1,211805_s_at
CYP3A7-CYP3A51P,211843_x_at
CAT,211922_s_at
AK2,212172_at
AK2,212173_at
AK2,212174_at
AK2,212175_s_at
MT2A,212185_x_at
IDS,212221_x_at
IDS,212223_at
ALDH1A1,212224_at
MAOA,212741_at
SLC36A1,213119_at
SLC46A1,213259_s_at
SARM1,213259_s_at
PFAS,213302_at
ABCC10,213485_s_at
CES2,213509_x_at
SLC16A3,213522_s_at
CSNK1D,213522_s_at
MARS1,213671_s_at
MARS1,213672_at
PON3,213695_at
MAT2A,213705_at
GGCX,213705_at
IDUA,213723_s_at
IDS,213821_s_at
COMT,213981_at
GGCX,214005_at
GGCX,214006_s_at
ABCC6,214033_at
RYR2,214044_at
CYP3A5,214234_s_at
CYP3A5,214235_at
ADH6,214261_s_at
CYP2A7,214320_x_at
CYP2A6,214320_x_at
DDC,214347_s_at
CYP2C9,214419_s_at
CYP2C9,214420_s_at
CYP2C9,214421_x_at
GMPS,214431_at
NAT1,214440_at
ORM2,214465_at
ORM1,214465_at
CYP11B1,214610_at
CYP11B2,214630_at
ALB,214837_at
ALB,214842_s_at
CACNA1A,214933_at
CYP2C18,215103_at
UGT1A1,215125_s_at
UGT1A10,215125_s_at
UGT1A8,215125_s_at
UGT1A7,215125_s_at
UGT1A6,215125_s_at
UGT1A5,215125_s_at
UGT1A9,215125_s_at
UGT1A4,215125_s_at
UGT1A3,215125_s_at
UMPS,215165_x_at
SULT1A1,215299_x_at
GSTM1,215333_x_at
ABCC6,215559_at
CAT,215573_at
SHBG,215689_s_at
SLC6A2,215715_at
PLD1,215723_s_at
PLD1,215724_at
GSTA1,215766_at
ALPL,215783_s_at
CYP2D6,215809_at
PTGS1,215813_s_at
SCARB1,215834_x_at
SCARB1,215835_at
ABCC10,215873_x_at
CYP2C9,216025_x_at
CYP2C19,216058_s_at
ABCA1,216066_at
SLC7A8,216092_s_at
TGM2,216183_at
COMT,216204_at
SLC2A14,216236_s_at
SLC2A3,216236_s_at
SEC14L3,216346_at
SEC14L4,216402_at
SLC28A2,216432_at
RPE,216574_s_at
RPEL1,216574_s_at
AKR1C1,216594_x_at
SLC22A6,216599_x_at
SLC7A8,216603_at
SLC7A8,216604_s_at
SLC6A2,216610_at
SLC6A2,216611_s_at
CYP2C9,216661_x_at
UGT2B15,216687_x_at
ADA,216705_s_at
ST14,216905_s_at
ST14,216906_at
LDLR,217005_at
RDH11,217042_at
MTHFR,217070_at
MTHFR,217071_s_at
LDLR,217103_at
CYP2B6,217133_x_at
LDLR,217173_s_at
UGT2B15,217175_at
LDLR,217183_at
SPC24,217183_at
SLC6A2,217213_at
SLC6A2,217214_s_at
SLC7A8,217248_s_at
CYP4A11,217319_x_at
CYP4A22,217319_x_at
PGK1,217356_s_at
PGK1,217383_at
IDS,217432_s_at
CYP2D6,217468_at
IDE,217496_s_at
TYMP,217497_at
COMT,217516_x_at
ARVCF,217516_x_at
SLC34A1,217530_at
CYP2C9,217558_at
TGM4,217566_s_at
TGM4,217567_at
SLC6A2,217621_at
AKR1C2,217626_at
AKR1C1,217626_at
TYMS,217684_at
SLC16A3,217691_x_at
RDH11,217775_s_at
RDH11,217776_at
QARS1,217846_at
CMPK1,217870_s_at
MSRB1,217977_at
MAT2B,217993_s_at
PDXK,218018_at
PDXK,218019_s_at
DHRS4,218021_at
DHRS4L2,218021_at
SLC38A2,218041_x_at
SLC12A7,218066_at
RETSAT,218124_at
SLC38A1,218237_s_at
THTPA,218540_at
MSRB2,218773_s_at
NADSYN1,218840_s_at
SLC2A8,218985_at
SLC41A3,219175_s_at
RBAK,219214_s_at
NT5C,219214_s_at
SLCO3A1,219229_at
SPHK1,219257_s_at
MSRA,219281_at
SLC29A3,219344_at
NUDT15,219347_at
CEPT1,219375_at
HPSE,219403_s_at
MSRB2,219451_at
SLC47A1,219525_at
SLC6A14,219795_at
CYP2C8,219903_s_at
SLCO4A1,219911_s_at
SLC16A10,219915_s_at
SULT1E1,219934_s_at
SLC2A9,219991_at
CYP2C9,220017_x_at
APOBR,220023_at
SLC2A6,220091_at
SLC22A11,220100_at
NPC1L1,220106_at
SLC7A9,220135_s_at
ADAMTS13,220208_at
SLC12A1,220281_at
LRAT,220317_at
ABCG5,220383_at
SLCO1C1,220460_at
SLC25A21,220474_at
SLC28A3,220475_at
SLC22A7,220554_at
RDH8,220683_at
SLC5A7,220722_s_at
SLC19A3,220736_at
SLC12A6,220740_s_at
SLC38A2,220924_s_at
ATP1A1,220948_s_at
AMN,220989_s_at
SLC25A32,221020_s_at
SLC2A10,221024_s_at
PKD2L1,221061_at
TRPM6,221102_s_at
CHAT,221197_s_at
TPK1,221218_s_at
SLC2A11,221262_s_at
SLC22A8,221298_s_at
UGT1A8,221304_at
UGT1A5,221304_at
UGT1A9,221304_at
UGT1A1,221304_at
UGT1A3,221304_at
UGT1A8,221305_s_at
UGT1A5,221305_s_at
UGT1A9,221305_s_at
UGT1A1,221305_s_at
UGT1A3,221305_s_at
GLS,221510_s_at
SLC22A7,221661_at
SLC22A7,221662_s_at
SLC4A5,221723_s_at
RPE,221770_at
SLCO4C1,222071_s_at
SLC2A14,222088_s_at
SLC2A3,222088_s_at
SLX1B,222094_at
SULT1A3,222094_at
SULT1A4,222094_at
SLX1A,222094_at
CYP2E1,222100_at
RDH14,222203_s_at
NT5C1B-RDH14,222203_s_at
SLC44A1,222364_at
PREP,37950_at
FMO3,40665_at
DHFR,48808_at
CMPK1,222448_s_at
PDXK,222492_at
HPSE,222881_at
SLC16A10,222939_s_at
SULT1E1,222940_at
SLC5A7,222967_at
SLC38A2,222982_x_at
GLS,223079_s_at
GLS,223080_at
PDXP,223290_at
SH3BP1,223290_at
TRPM7,223323_x_at
TRPM7,223324_s_at
AMN,223587_s_at
SLC12A6,223596_at
TPK1,223686_at
SLC23A1,223732_at
ADH4,223781_x_at
PTPMT1,223808_s_at
NDUFS3,223808_s_at
ADAMTS13,223844_at
ABCC11,224146_s_at
NPC1L1,224305_s_at
NPC1L1,224306_at
TRPM6,224412_s_at
SLC38A1,224579_at
SLC38A1,224580_at
SLC44A1,224595_at
SLC44A1,224596_at
SLC41A3,224931_at
RPE,225039_at
RPE,225040_s_at
PCYT1A,225069_at
LNPEP,225176_at
AK4,225342_at
RDH13,225449_at
RDH13,225467_s_at
GSR,225609_at
SLC12A2,225835_at
ABCC5,226363_at
ENTPD5,226594_at
PLD1,226636_at
SLC12A6,226741_at
MTHFR,226929_at
RALBP1,226957_x_at
