drugA,drugB,meddra,N,type
21603851,21605269,35708202,11,negativo
21601435,21603718,36110149,13,negativo
21601435,21603929,36718119,65,negativo
21602256,21603825,35205025,25,negativo
21600493,21604344,37320212,17,negativo
21601399,21603929,36718132,10,negativo
21603080,21604571,36919059,10,negativo
21602485,21602540,37219871,11,negativo
21602256,21603929,35708642,12,negativo
21603917,21604422,37220005,10,negativo
21601161,21605129,37219905,13,negativo
21601423,21603925,35104245,10,negativo
21604422,21604757,36718285,10,negativo
21602737,21603800,35809315,12,negativo
21602338,21603925,36313594,12,negativo
21602730,21602735,36313534,10,negativo
21604432,21604677,37220005,14,negativo
21604577,21604711,36918942,10,negativo
21603905,21603917,35809327,51,negativo
21602921,21601435,35104074,10,negativo
21601423,21603929,35708208,571,negativo
21601390,21603800,37622449,20,negativo
21602737,21603082,35204948,10,negativo
21600718,1588697,42889536,19,negativo
21604393,21604436,36211462,28,negativo
21600493,21602485,35909452,38,negativo
21603967,21604344,37522220,33,negativo
21603967,21603980,35909409,22,negativo
21603925,21603929,36110918,15,negativo
21600083,21604115,36776613,12,negativo
21604272,21604643,36718371,14,negativo
21602735,21601423,36110697,11,negativo
21603967,21603980,37521163,15,negativo
21604344,21604434,35809054,25,negativo
21601747,21603124,43053854,15,negativo
21602338,21601392,35708093,16,negativo
21603080,21603082,35809054,14,negativo
21600096,21603009,35306246,10,negativo
21603967,21603968,36918858,16,negativo
21601435,21603929,35708208,97,negativo
21602823,21601423,37522220,10,negativo
21603967,21604714,35708202,20,negativo
21602485,21603514,37622465,15,negativo
21602256,21603921,36516802,21,negativo
21602737,21604344,35707866,10,negativo
21602737,21601435,35707991,13,negativo
21602096,21604857,35809079,28,negativo
21601423,21603929,37622499,51,negativo
21601129,21603911,36110649,11,negativo
21602485,21604344,35708156,18,negativo
21601423,21603929,36416503,10,negativo
21602737,21605129,36110642,11,negativo
21602734,21603925,36009897,18,negativo
21603967,21603980,37622529,64,negativo
21602338,21602734,36110552,12,negativo
21600493,21604344,35809115,11,negativo
21600816,21601274,35205038,18,negativo
21604425,21604440,37522220,10,negativo
21601518,21602648,36312568,10,negativo
21600663,21603909,36516818,15,negativo
21602924,21603929,35809054,18,negativo
21601161,21603009,35306246,11,negativo
21602735,21603908,36516786,25,negativo
21602732,21603896,36009895,25,negativo
21603895,21603925,35809327,18,negativo
21603718,21603748,35809120,23,negativo
21601003,21600448,36211557,11,negativo
21603929,21604436,36009871,11,negativo
21602732,21603929,42888943,15,negativo
21604344,21603285,35809054,15,negativo
21601428,21603718,36313436,11,negativo
21601423,21605271,35708208,22,negativo
21603160,21603161,37622529,10,negativo
21602102,21603800,36110642,20,negativo
21602823,21603607,35909517,15,negativo
21601423,21601435,35204948,31,negativo
21600493,21603462,35909625,14,negativo
21603019,21603497,35708154,10,negativo
21600083,21602732,37622449,16,negativo
21601428,21601435,36313524,35,negativo
21602338,21601399,36776613,11,negativo
21601200,21604643,36918937,10,negativo
21602338,21602732,36009897,16,negativo
21602096,21604857,36110642,26,negativo
21602732,21603756,35104883,16,negativo
21602256,21603909,35707872,15,negativo
21601423,21603921,36110536,10,negativo
21601392,21601423,42889498,10,negativo
21602735,21603909,36110649,49,negativo
21601518,21602648,36313534,28,negativo
21603911,21603968,35809115,21,negativo
21601399,21603896,36110878,11,negativo
21601435,21603929,36617310,34,negativo
21602338,21603896,35506628,15,negativo
21602338,21603925,36516876,13,negativo
21602730,21604344,36516959,11,negativo
21602737,21603732,35708642,15,negativo
21602485,21603497,36918942,10,negativo
21604711,21604762,36919059,10,negativo
21604571,21604711,37522220,10,negativo
21601431,21603929,35104199,14,negativo
21604393,21604433,35809054,12,negativo
21600575,21601161,35809076,11,negativo
21602735,21601423,45885570,18,negativo
21604542,21604559,35708705,10,negativo
21601435,21604131,37219907,10,negativo
21602256,21602735,36516779,37,negativo
21602102,21602737,36311923,25,negativo
21603909,21603912,35809327,34,negativo
21603080,21603607,35809054,22,negativo
21601390,21605271,35708093,10,negativo
21602737,21603800,35104103,10,negativo
21603748,21603749,35809327,14,negativo
21602730,21603718,37219907,11,negativo
21600494,21603448,35104877,11,negativo
21603009,21603607,36516812,44,negativo
21602256,21603864,36718132,81,negativo
21601003,21600449,36516765,15,negativo
21602096,21602485,35909452,12,negativo
21602256,21603908,36416534,49,negativo
21601428,21601435,35809054,60,negativo
21603967,21603312,36110597,12,negativo
21602898,21604433,37220005,14,negativo
21603800,21603929,42888943,107,negativo
21605014,21603525,35809071,19,negativo
21601423,21604857,35104199,10,negativo
21602737,21603927,35808914,13,negativo
21602256,21603911,35104853,34,negativo
21603908,21603929,36313594,11,negativo
21601435,21603929,36718230,15,negativo
21602735,21604348,35708208,13,negativo
21602737,21601423,42888943,42,negativo
21601129,21601423,37522220,74,negativo
21602338,21603929,35708154,23,negativo
21602102,21602921,35809327,10,negativo
21601394,21603718,35909571,12,negativo
21601129,21602256,36315380,12,negativo
21601423,21603911,36315380,21,negativo
21603909,21604889,35809327,23,negativo
21603732,21603929,37622449,31,negativo
21600083,21603448,35809243,10,negativo
21603905,21603929,35809329,29,negativo
21602256,21602735,36517125,36,negativo
21600816,21603911,35708226,10,negativo
21601392,21604305,35607265,18,negativo
21601423,21603929,36313661,13,negativo
21600493,21604434,37522220,13,negativo
21602256,21604260,36919230,26,negativo
21602735,21603909,36416534,42,negativo
21603908,21603285,36110874,10,negativo
21602735,21603896,37019321,20,negativo
21603896,21603924,37019318,23,negativo
21603925,21603929,45885904,19,negativo
21601390,21601435,36718317,10,negativo
21602732,21603929,37219907,20,negativo
21604131,21604348,37219863,12,negativo
21602823,21603967,45885570,10,negativo
21602735,21603909,35809146,21,negativo
21600399,21604418,36919059,14,negativo
21600493,21603967,35809054,13,negativo
21601390,21603929,35708369,10,negativo
21601751,21603086,37320192,10,negativo
21600493,21602102,35506628,10,negativo
21603905,21603968,35708093,30,negativo
21602732,21604436,37522220,12,negativo
21601423,21603929,36416609,17,negativo
21601161,21605129,37219810,18,negativo
21604393,21604399,35809101,13,negativo
21603900,21604574,35708642,10,negativo
21600965,21601003,35708154,13,negativo
21600096,21603082,35909571,21,negativo
21601435,21603618,36617310,10,negativo
21601161,21603392,35809076,10,negativo
21601394,21603732,42890163,11,negativo
21600084,21601518,37522220,11,negativo
21604260,21603448,37622449,11,negativo
21604516,21604559,36919098,18,negativo
21602735,21603905,36516781,10,negativo
21603097,21603103,35809330,14,negativo
21602485,21602870,36918942,10,negativo
21602102,21603718,35104877,62,negativo
21600493,21602338,35708093,11,negativo
21600965,21602648,37521795,10,negativo
21603905,21603917,35809329,24,negativo
21601390,21603896,36211705,17,negativo
21604431,21604714,37320212,16,negativo
21602338,21602734,37019318,12,negativo
21602256,21603911,35809115,104,negativo
21602256,21603911,35406359,10,negativo
21602338,21603925,35909508,37,negativo
21602735,21603911,35809329,27,negativo
21600718,21601161,42889536,11,negativo
21603929,21603968,36516779,33,negativo
21602732,21604422,36776613,20,negativo
21603392,21603497,35809115,11,negativo
21601129,21603911,35205038,19,negativo
21604344,21604348,37019358,18,negativo
21602735,21603448,35809076,14,negativo
21601435,21603929,37219907,25,negativo
21601423,21603908,36516973,14,negativo
21601423,21603929,36416595,109,negativo
21603924,21603927,35104746,11,negativo
21602732,21603312,35809327,17,negativo
21600718,21601670,42890557,12,negativo
21600575,21601518,35205038,10,negativo
21604415,21604543,36718347,13,negativo
21603980,21604711,42889647,19,negativo
21604417,21604431,43053854,11,negativo
21601431,21603925,36110552,10,negativo
21603913,21603929,36211462,11,negativo
21601435,21603777,35809207,16,negativo
21602256,21603618,36211181,18,negativo
21604529,21604543,36919235,10,negativo
21602102,21603732,35708642,15,negativo
21601390,21603929,35809225,14,negativo
21601423,21603929,36211748,10,negativo
21600096,21602485,35708202,34,negativo
21602735,21601390,35205038,10,negativo
21603082,21604344,36313176,10,negativo
21603718,21603925,35104177,10,negativo
21600493,21600505,35809310,26,negativo
21604344,21604348,35909443,35,negativo
21600084,21602737,36416595,11,negativo
21602102,21601423,36776613,15,negativo
21604344,21604348,35707763,14,negativo
21602338,21603925,37521359,11,negativo
21600135,21603967,35909449,10,negativo
21601274,21604433,37420527,10,negativo
21601423,21603895,35104883,17,negativo
21602485,21602754,35708093,11,negativo
21604544,21604571,36818730,11,negativo
21601390,21603749,36416501,13,negativo
21601003,21600449,35205038,72,negativo
21601392,21603896,36110852,20,negativo
21601435,21603800,36416595,22,negativo
21604571,21604577,36919230,13,negativo
21603909,21603448,37320212,15,negativo
21601003,21602648,35808924,56,negativo
21603921,21603929,35104236,19,negativo
21601394,21603929,36718338,11,negativo
21601429,21603929,35104074,12,negativo
21604562,21604757,36919098,18,negativo
21602735,21603929,36416637,34,negativo
21602102,21602737,37320199,10,negativo
21602735,21603967,35708208,19,negativo
21604344,21604348,37080784,34,negativo
21602737,21601435,35809059,11,negativo
21601423,21603911,35808976,49,negativo
21604393,21604434,36918937,13,negativo
21602730,21603718,35809327,51,negativo
21602256,21602735,36315486,35,negativo
21602735,21601423,35204948,28,negativo
21603756,21603896,35104877,17,negativo
21604544,21604714,36919031,11,negativo
21602338,21603896,35506448,12,negativo
21602085,21603131,36718301,16,negativo
21602735,21603968,36516786,19,negativo
21602732,21603925,36009891,35,negativo
21600484,21600493,37220014,13,negativo
21601394,21603748,42890163,19,negativo
21604131,21603448,36313524,11,negativo
21602873,21603009,37320212,10,negativo
21604559,21604571,45885696,13,negativo
21603019,21603448,36416595,15,negativo
21600658,21603285,35708093,22,negativo
21601435,21603448,35104074,11,negativo
21601423,21603929,36416514,134,negativo
21604559,21604713,36919059,16,negativo
21601390,21601423,42888965,21,negativo
21602732,21603756,45885904,10,negativo
21604757,40252237,36919059,15,negativo
21603908,21603929,35808976,104,negativo
21604711,21604888,36918858,10,negativo
21602338,21603896,36110888,52,negativo
21603081,21601423,35104877,10,negativo
21604399,21604431,36718151,10,negativo
21602730,21602735,36416501,14,negativo
21604431,21604741,35204966,13,negativo
21602338,21602735,42889498,10,negativo
21603967,21603980,35708640,11,negativo
21600493,21600575,37219905,14,negativo
21604711,21604713,36516975,10,negativo
21602102,21604571,37622449,21,negativo
21604543,21604559,36315380,10,negativo
21602732,21603135,36110874,17,negativo
21603080,21603718,35708208,24,negativo
21601423,21603921,35708202,60,negativo
21604571,21603448,35708154,17,negativo
21602256,21603864,36516876,18,negativo
21601390,21603929,36718288,12,negativo
21604348,21604711,36211492,14,negativo
21601390,21603777,36416595,11,negativo
21601003,21602653,35809054,63,negativo
21601423,21603929,43053888,62,negativo
21604544,21604566,36919230,23,negativo
21600575,21604434,35708208,14,negativo
21601390,21603925,36416501,20,negativo
21603009,21603607,42889495,20,negativo
21602338,21602735,37219897,12,negativo
21603929,21604571,35708154,12,negativo
21604431,21604544,35809139,17,negativo
21604431,21604757,36009724,12,negativo
21604516,21604544,35204948,10,negativo
21601390,21603718,43053848,19,negativo
21602735,21604348,35809054,13,negativo
21600098,21604431,36818729,11,negativo
21603756,21603925,42888965,18,negativo
21600234,21604272,35809243,10,negativo
21601390,21601423,36009901,14,negativo
21603370,21603525,36211491,13,negativo
21601129,21602735,35809072,10,negativo
21600575,21601161,35104877,10,negativo
21604543,21604562,35809310,13,negativo
21601394,21601423,35104074,11,negativo
43534761,21601031,35809079,12,negativo
21602730,21603800,35707713,38,negativo
21603898,21603911,36009738,18,negativo
21603898,21603929,35809115,23,negativo
21601390,21601423,36110116,12,negativo
21601911,21602737,37622449,12,negativo
21604544,21604745,36211496,25,negativo
21604272,21604643,35204948,31,negativo
21602735,21603909,35708226,16,negativo
21600604,21603080,35104883,11,negativo
21602338,21603925,35707920,21,negativo
21603929,21603967,35708208,17,negativo
21601390,21603929,35104746,14,negativo
21600083,21602485,35708202,20,negativo
21604544,21604571,35204948,15,negativo
21604566,21604643,36718321,14,negativo
21604436,21604677,35205345,10,negativo
21604562,21604711,36718370,10,negativo
21600098,21603356,35708202,11,negativo
21601394,21603929,35104074,14,negativo
21604418,21604562,37522220,12,negativo
21601423,21603929,36517027,14,negativo
21600948,21604714,36718379,10,negativo
21601423,21603732,35104161,14,negativo
21601423,21603924,35707751,15,negativo
21601423,21603929,37320197,108,negativo
21602136,21603356,35205038,11,negativo
21604422,21604431,36211496,12,negativo
21602735,21603980,35909443,11,negativo
21600449,21602653,37521795,12,negativo
21602735,21603896,36416606,13,negativo
21602102,21602921,37622449,11,negativo
21603967,21603514,36776531,14,negativo
21602102,21602737,37320197,54,negativo
21603967,21604348,37219907,17,negativo
21602338,21603929,36009894,29,negativo
21604348,21603448,37219897,12,negativo
21602778,21603392,42889536,13,negativo
21601518,21604344,35708208,27,negativo
21600816,21602735,35809076,15,negativo
21603080,21603718,35204948,13,negativo
21602256,21603864,36211385,13,negativo
21600994,21600449,36211542,11,negativo
21601129,21603929,36517125,22,negativo
21602096,21603929,35707763,10,negativo
21602256,21603968,35708208,39,negativo
21604712,21604741,36211492,17,negativo
21604433,21604437,36776613,12,negativo
21602256,21602735,35708242,14,negativo
21601423,21603929,36718503,19,negativo
21601435,21603929,42890163,13,negativo
21604431,21604541,42889647,10,negativo
21601003,43534769,35708208,11,negativo
21602898,21604415,36416500,13,negativo
21601390,21603804,37522220,12,negativo
21603896,21603929,35104199,10,negativo
21600084,21603929,35708093,19,negativo
21601129,21603929,36516781,15,negativo
21602338,21602732,35909508,19,negativo
21602732,21603896,35506448,16,negativo
21602730,21603448,35104877,21,negativo
21600303,21603448,36110933,16,negativo
21602338,21602732,35707763,11,negativo
21600535,21604348,35708208,10,negativo
21603131,21601390,36009894,17,negativo
21604425,21604436,36516865,11,negativo
21602338,21603924,35708093,12,negativo
21602102,21602737,35809310,55,negativo
21603164,21603897,36516886,10,negativo
21604422,21604431,36718132,24,negativo
21602978,21603980,36918858,12,negativo
21600083,21603718,35708093,13,negativo
21604344,21604348,36314494,11,negativo
21600096,21603462,35909437,15,negativo
21601428,21603800,37219863,14,negativo
21603732,21603749,37219897,10,negativo
21601518,21602732,35809170,10,negativo
21600493,21604131,36313534,15,negativo
21602820,21604415,35204948,11,negativo
21603967,21603980,37320120,24,negativo
21601428,21603929,36718418,16,negativo
21601390,21603800,36110591,17,negativo
21601399,21603924,36009894,30,negativo
21603967,21603980,35204970,34,negativo
21604131,21604210,36313594,21,negativo
21602085,21603131,36009891,39,negativo
21603905,21603921,36517125,35,negativo
21600493,21600816,35708208,26,negativo
21602338,21603925,35708073,18,negativo
21602735,21601390,36009895,12,negativo
21603787,21603927,42890355,10,negativo
21600097,21600111,35708208,13,negativo
21601390,21601432,35809054,13,negativo
21602737,21601390,36110642,43,negativo
21602737,21604344,36718500,10,negativo
21602734,21603929,36110642,43,negativo
21601390,21603732,35809059,13,negativo
21601518,21603549,35708208,16,negativo
21603911,21603968,35708154,11,negativo
21604348,21603312,37219871,10,negativo
21603021,21603110,35809330,11,negativo
21604415,21604422,36718321,42,negativo
21603009,21603607,35809121,11,negativo
21603392,1588697,35708156,16,negativo
21604436,21604643,37522220,32,negativo
21601399,21603758,37219921,10,negativo
21602730,21603607,35708154,10,negativo
21600097,21604577,36718379,10,negativo
21604344,21604348,35809327,77,negativo
21603967,21604417,36776531,12,negativo
21602338,21603925,36110790,13,negativo
21600448,21602648,35707864,12,negativo
21603738,21603929,35104883,12,negativo
21601129,21603929,35708202,81,negativo
21600493,21601129,35708073,14,negativo
21601399,21603896,35104691,12,negativo
21601161,21603288,42889536,15,negativo
21602256,21603618,42890355,15,negativo
21604436,21604643,36416500,23,negativo
21603908,21603929,35809155,11,negativo
21601431,21603851,36009901,13,negativo
21604559,21604571,36918942,15,negativo
21600493,21604344,36416606,28,negativo
21604571,21604745,36718323,17,negativo
21602895,21604432,36416500,11,negativo
21600493,21600575,36718119,11,negativo
21603917,21603968,35205025,31,negativo
21603019,21603080,37622449,12,negativo
21603756,21603908,36516817,10,negativo
40252237,21603497,35809327,10,negativo
21600098,21604348,35204948,11,negativo
21602102,21601435,36313534,23,negativo
21602919,21603392,35708202,16,negativo
21604422,21604433,37522220,20,negativo
21604402,21604677,35204948,11,negativo
21601423,21601428,35708171,10,negativo
21600083,21602102,35809054,15,negativo
21602737,21601423,36313176,22,negativo
21600493,21602732,36313524,14,negativo
21603080,21604571,35809207,13,negativo
21602734,21603911,36718132,15,negativo
21600994,45893474,35708202,10,negativo
21604436,21604713,36211496,11,negativo
21600493,21602730,35809243,12,negativo
21601435,21603929,36313550,39,negativo
21600098,21603911,35809005,16,negativo
21601466,21601684,35205136,11,negativo
21601423,21603929,36718175,18,negativo
21600965,21602648,35708156,13,negativo
21601518,21601534,35104691,13,negativo
21600083,21602485,35909456,11,negativo
21603718,21603992,36110933,11,negativo
21601423,21603929,35809022,36,negativo
21602873,21603607,35909517,13,negativo
21601518,21602102,35809054,11,negativo
21600663,21603929,43053882,27,negativo
21604080,21604272,37019321,11,negativo
21603019,21603613,35104074,24,negativo
21603019,21601435,35104877,17,negativo
21602732,21602734,35809054,64,negativo
21604438,21604711,35708208,10,negativo
21602898,21604571,35205345,11,negativo
21604344,21604348,36312538,14,negativo
21603160,21603163,36312538,11,negativo
21600663,21603911,36516779,33,negativo
21601399,21601431,35104113,13,negativo
21602737,21603497,35205038,17,negativo
21601428,21601435,36718418,12,negativo
21602096,21604857,37622518,33,negativo
21601435,21603718,35708642,65,negativo
21604711,21604713,36918858,16,negativo
21601431,21603929,36718119,11,negativo
21603909,21603927,35708073,11,negativo
21603967,21603980,36516959,93,negativo
21604431,21604543,36919036,18,negativo
21602256,21604571,788653,10,negativo
21603756,21603897,35809327,10,negativo
21604562,21604714,35809079,12,negativo
21602730,21603929,36313176,35,negativo
21601423,21603929,36718233,15,negativo
21600135,21603909,35708044,10,negativo
21602485,21602754,35708208,12,negativo
21603967,21603980,35606965,31,negativo
21603967,21604348,35204948,13,negativo
21603131,21603896,36009892,11,negativo
21602735,21601423,36110591,12,negativo
21604415,21604542,35809327,10,negativo
21602338,21603909,37622529,13,negativo
21602485,21604577,36211303,24,negativo
21603131,21603800,35104113,15,negativo
21601670,21602823,42890557,12,negativo
21602735,21602985,35909517,12,negativo
21601394,21604348,35104877,10,negativo
21600096,21603967,35809243,35,negativo
21601129,21601699,36818729,12,negativo
21603929,21604348,35708154,12,negativo
21603967,21603980,36919046,143,negativo
21601423,21603911,35809011,18,negativo
21602737,21603909,35708208,25,negativo
21600575,21604260,35708093,16,negativo
21602096,21604857,36919046,21,negativo
21604437,21604571,36776613,10,negativo
21603175,21603897,36516886,10,negativo
21603911,21603929,36110933,11,negativo
21602648,21603549,35205038,17,negativo
21602102,21604348,35506628,10,negativo
21603911,21603929,36211462,23,negativo
21601423,21604434,35708154,12,negativo
21600449,21602653,35205185,47,negativo
21601390,21601432,35708093,10,negativo
21600493,21604571,36416501,21,negativo
21600816,21604348,35205038,11,negativo
21602338,21603925,42890355,123,negativo
21601747,21604556,37019316,10,negativo
21601423,21603929,35607345,30,negativo
21604422,21604559,36312331,10,negativo
21602256,21601428,35809005,21,negativo
21603356,21603497,36110697,13,negativo
21601435,21603929,37019321,14,negativo
21602730,21601428,36313534,12,negativo
21602737,21604344,35809207,10,negativo
21600493,21604348,35205388,12,negativo
21604431,21604741,35809054,16,negativo
21602978,21603312,36718132,11,negativo
21601392,21601423,35104177,29,negativo
21604418,21604433,36776613,36,negativo
21604344,21604348,35708603,15,negativo
21600747,21601684,35305560,11,negativo
21603924,21603929,35707864,11,negativo
21602737,21601423,35708202,34,negativo
21600493,21604348,36718379,10,negativo
21603929,21603968,35809054,34,negativo
21603929,21605269,35708202,11,negativo
21601423,21603929,35104161,76,negativo
21603925,21604436,36110874,24,negativo
21600493,21603929,35104877,84,negativo
21600449,21602653,36516959,10,negativo
21603718,21603448,35104877,26,negativo
21602256,21603911,35104074,112,negativo
21601428,21603851,36211181,19,negativo
21603967,21604590,36919230,17,negativo
21601392,21601431,35104236,17,negativo
21604272,21604677,43053854,23,negativo
21602256,21603911,36110933,95,negativo
21603748,21604857,35104236,10,negativo
21603967,21603448,36315380,10,negativo
21602732,21604344,36313524,10,negativo
21601518,21604571,35104877,13,negativo
21601467,21601518,37622449,20,negativo
21601394,21603718,42890355,10,negativo
21602735,21603909,35205184,12,negativo
21602256,21603911,37019425,16,negativo
21600663,21603911,36516786,24,negativo
21604543,21604711,37522220,13,negativo
21602735,21604344,36516959,17,negativo
21602734,21603927,36009897,11,negativo
21602256,21603909,35707866,10,negativo
21601399,21603718,35809327,14,negativo
21600575,21604571,36416595,17,negativo
21600816,21603900,36776613,13,negativo
21602485,21604718,35909445,20,negativo
21602737,21602921,37622449,14,negativo
21601423,21603800,36110649,17,negativo
21600083,21602485,35909442,12,negativo
21600575,21603497,35809076,13,negativo
21602978,21603356,35909443,14,negativo
21602338,21603925,35104103,26,negativo
21603370,21603514,36718301,10,negativo
21604711,21604760,35809115,17,negativo
21602485,21602823,36919046,32,negativo
21600098,21603312,35809115,10,negativo
21602730,21603718,36416514,12,negativo
21602732,21603925,43562937,14,negativo
21600576,21601518,36918858,10,negativo
21601423,21604344,37522220,14,negativo
21603905,21604889,35809327,22,negativo
21600083,21603392,36110597,20,negativo
21600513,21604571,36313534,11,negativo
21604544,21604562,36718353,13,negativo
21603980,21604348,36211496,17,negativo
21600493,21603911,35809054,15,negativo
21602289,21602295,35809327,27,negativo
21603082,21604272,35708093,11,negativo
21604422,21604431,36718530,43,negativo
21601423,21603748,35104397,11,negativo
21603718,21603851,35707991,16,negativo
21600493,21603929,37019318,17,negativo
21603896,21603924,37219850,13,negativo
21603312,21603356,36718321,16,negativo
21604433,21604436,35204948,15,negativo
21601399,21601423,35708154,10,negativo
21603967,21604348,35809059,10,negativo
21601435,21603800,35708067,10,negativo
21603992,21604434,36718379,11,negativo
21604272,21604643,37622449,41,negativo
21603911,21603497,35809327,14,negativo
21600083,21604566,36516876,12,negativo
21602730,21604272,35809327,10,negativo
21603019,21603896,37019261,12,negativo
21603370,21603404,35809077,10,negativo
21601392,21603718,35809054,19,negativo
21601423,21601428,35809207,23,negativo
21600096,21603086,35909437,11,negativo
21601423,21603732,37622529,20,negativo
21601390,21601392,35104877,23,negativo
21604272,21604677,36918937,11,negativo
21602820,21603917,43053854,20,negativo
43534769,21601518,35708093,12,negativo
21603980,21604348,36313534,12,negativo
21601129,21601423,35708038,13,negativo
21602734,21603929,35104236,45,negativo
21600083,21602648,36111047,13,negativo
21604418,21604436,35205025,12,negativo
21600493,21604344,36110597,25,negativo
21603080,21601423,36718132,15,negativo
21601390,21601423,36110015,22,negativo
21601392,21603925,37522220,18,negativo
21604432,21604574,35809327,11,negativo
21602735,21601390,36110229,11,negativo
21600493,21603980,35809054,12,negativo
21603160,21603161,36416638,12,negativo
21604562,21604741,35809327,11,negativo
21601390,21604857,35809327,10,negativo
21604344,21604348,36313091,24,negativo
21600493,21600513,35809076,10,negativo
21602730,21603718,35708154,17,negativo
21604544,21604751,37622446,13,negativo
21600718,21600732,35808981,10,negativo
21601429,21603718,35104883,12,negativo
21600096,21604677,43053854,20,negativo
21601392,21601399,35809207,60,negativo
21601161,21604348,37622449,14,negativo
21602338,21602735,36110642,13,negativo
21600096,21604436,35708208,15,negativo
21600575,21604115,36718352,11,negativo
21600098,21601518,35205038,16,negativo
21603980,21604431,36919235,14,negativo
21602895,21604440,43053854,24,negativo
21602102,21601390,36110708,10,negativo
21600083,21600747,35708202,11,negativo
21604348,21603448,35506628,15,negativo
21601161,21601518,36416501,13,negativo
21604711,21604757,36918858,21,negativo
21600505,21603009,35809207,11,negativo
21603917,21604643,43053854,21,negativo
21601518,21601534,36110642,18,negativo
21600493,21604131,36313436,12,negativo
21601390,21601423,35506628,22,negativo
21601423,21603925,36110552,17,negativo
21601423,21603929,35104113,198,negativo
21602898,21604393,36416500,13,negativo
21602102,21601423,35104304,20,negativo
21601003,21600449,37521795,15,negativo
21603738,21603929,35104397,11,negativo
21600093,21602800,35708202,17,negativo
21604559,21604757,35708202,15,negativo
21601390,21601392,37219897,10,negativo
21601747,21601789,36718458,20,negativo
21604344,21604348,36918858,60,negativo
21604571,21604655,35809310,12,negativo
21601435,21603718,35104074,34,negativo
21602102,21602737,37320114,12,negativo
21600098,21600575,36110597,23,negativo
21601518,21602338,36315575,11,negativo
21603080,21603895,36009894,10,negativo
21603967,21603980,36918904,22,negativo
21601423,21603911,35205025,62,negativo
21600083,21604433,36776613,11,negativo
21602732,21603925,35809054,108,negativo
21600083,21602735,35104877,13,negativo
21604571,21604713,36718555,10,negativo
21603131,21603924,35809054,22,negativo
21601390,21603718,36315575,12,negativo
21601428,21603929,36110026,18,negativo
21603896,21603925,35104243,15,negativo
21603905,21603909,36314856,45,negativo
21601390,21603718,36718119,26,negativo
21601466,21604745,35204928,15,negativo
21601789,21604544,37622446,17,negativo
21601534,21603312,35205038,12,negativo
21603980,21604712,42889636,10,negativo
21602730,21601394,35104883,14,negativo
21604556,21604562,36919236,14,negativo
21604344,21604348,35809079,64,negativo
21603912,21604889,36516818,12,negativo
21602732,21603896,45885570,15,negativo
21601423,21603929,36718463,30,negativo
21600664,21603911,35708156,17,negativo
21601789,21604751,37622446,13,negativo
21603082,21603086,35809327,19,negativo
21600096,21600816,35708154,22,negativo
21604566,21604643,36718301,11,negativo
21602102,21602737,36718317,12,negativo
21603896,21603925,35809059,11,negativo
21603967,21603980,35707864,36,negativo
21602820,21602898,35204948,12,negativo
21604559,21604562,36918985,25,negativo
21604230,21603448,36718132,15,negativo
21600100,21603312,35909443,10,negativo
21601390,21605270,37019321,10,negativo
21601428,21603929,35104691,37,negativo
21600484,21604348,37622449,12,negativo
21603718,21603929,36110852,15,negativo
21601518,21604272,35204966,12,negativo
21603082,21603086,35909437,14,negativo
21602730,21603718,36416595,30,negativo
21602732,21603080,43562936,18,negativo
21602737,21603718,36110649,12,negativo
21600083,21600505,35809207,15,negativo
21601399,21603925,37522220,45,negativo
21600493,21604272,36313436,11,negativo
21600098,21602735,35708156,10,negativo
21602730,21601435,36312648,10,negativo
21602730,21604348,35707713,10,negativo
21603980,21603356,35708156,10,negativo
21604344,21604348,36818729,10,negativo
21602735,21601423,35205038,32,negativo
21600663,21603911,35809076,10,negativo
21604590,21603448,42889647,10,negativo
21603896,21603925,36009957,12,negativo
21602921,21603448,35104877,12,negativo
21603967,21604344,36211491,11,negativo
21601423,21601435,35707713,45,negativo
21603929,21603968,36009833,19,negativo
21603312,21603514,36918942,13,negativo
21603917,21604415,35205345,10,negativo
21602102,21601435,35809059,11,negativo
21602737,21602754,35809076,12,negativo
21600083,21603718,35104074,10,negativo
21600449,21602648,45885399,10,negativo
21604422,21604436,36718317,14,negativo
21603896,21604399,35104199,10,negativo
21601390,21603924,35104746,11,negativo
21604571,21603448,35205038,16,negativo
21600096,21604857,35708154,11,negativo
21601390,21603929,36718321,12,negativo
21600083,21603448,37622449,16,negativo
21604559,21604563,36718218,10,negativo
21602735,21603896,35104885,10,negativo
21602737,21604571,35104883,13,negativo
21601161,21605129,35205259,10,negativo
21602256,21604640,36718317,12,negativo
21604559,21604764,37522220,14,negativo
21600493,21600503,35104877,12,negativo
21601390,21605269,35104691,15,negativo
21602732,21603925,35104165,19,negativo
21604711,21604714,35607287,10,negativo
21603896,21603925,36110930,11,negativo
21600084,21603448,36110597,10,negativo
21600664,21600816,35708093,10,negativo
21603164,21603165,35104746,12,negativo
21600816,21603392,35809054,15,negativo
21603917,21603968,35708093,28,negativo
21602735,21603896,37219838,14,negativo
21604348,21604741,36718362,10,negativo
21603896,21603925,37019316,12,negativo
21602898,21602977,35809327,11,negativo
21603900,21604431,35809054,20,negativo
21602102,21603929,36416501,23,negativo
21604516,21604566,35809054,10,negativo
21603160,21603164,36313534,13,negativo
21601390,21601431,43053888,10,negativo
