drugA,drugB,meddra,N,type
21602485,21604655,35708154,10,negativo
21600084,21603448,35809243,10,negativo
21601161,21605129,37219937,10,negativo
21600234,21602653,35205038,10,negativo
21602823,21603009,35909517,15,negativo
21604417,21604436,36718537,12,negativo
21603929,21604348,35708208,13,negativo
21604422,21604434,36110597,11,negativo
21601390,21603896,36110597,22,negativo
21600493,21604193,35809310,18,negativo
21602485,21603980,37521342,29,negativo
21604433,21604544,35809327,15,negativo
21600658,21603356,35809054,10,negativo
21600732,21603392,42889536,28,negativo
21602730,21603718,35809243,10,negativo
21603082,21603392,42889536,11,negativo
21600575,21603800,36110642,12,negativo
21603288,21603356,35809243,13,negativo
21600399,21604757,35809071,39,negativo
21600493,21604210,36313594,18,negativo
21601129,21603929,35809181,21,negativo
21604712,21603404,35809059,11,negativo
21604422,21604436,36718301,14,negativo
21602735,21603921,35809146,21,negativo
21602735,21604436,35809327,12,negativo
21603909,21603929,35708164,16,negativo
21602732,21603080,35104074,17,negativo
21602338,21602732,37019318,10,negativo
21603356,1588697,37522181,20,negativo
21600747,21600395,35305560,12,negativo
21604543,21604571,36918912,32,negativo
21604348,21604434,35809054,18,negativo
21604415,21604417,35809327,29,negativo
21601431,21603929,37622449,11,negativo
21603908,21603912,43053882,19,negativo
21602732,21603135,35809054,19,negativo
21601394,21603929,35809310,17,negativo
21603758,21603925,36110852,22,negativo
21601129,21603911,42889379,16,negativo
21603080,21603896,37019261,14,negativo
21602102,21603929,35809072,12,negativo
21601161,21603980,35809054,11,negativo
21602735,21601423,36718119,17,negativo
21604094,21604577,35204970,10,negativo
21603929,21603448,35204948,13,negativo
21601399,21603758,35809207,27,negativo
21601518,21603549,37522220,10,negativo
21604431,21604433,37219850,15,negativo
21604422,21604757,36919235,10,negativo
21603967,21603980,35708563,44,negativo
21604431,21604562,36211496,13,negativo
21601518,21602648,37622449,20,negativo
21602338,21603285,36110201,11,negativo
21601423,21603800,35809315,29,negativo
21600575,21603967,35708100,12,negativo
21601423,21603925,36009891,163,negativo
21602734,21603929,36516749,12,negativo
21603905,21603929,35809243,16,negativo
21600399,21604757,36211478,18,negativo
21602735,21603909,43053888,27,negativo
21601390,21604348,36313240,10,negativo
21602256,21601423,36516959,35,negativo
21601394,21603718,35707864,10,negativo
21601423,21603929,37522220,699,negativo
21601392,21603925,36009891,88,negativo
21602256,21603312,35708154,13,negativo
21602102,21602737,35909509,14,negativo
21602485,21603607,35909445,23,negativo
21604571,21603448,35809243,16,negativo
21600083,21602735,37219907,11,negativo
21604051,21603641,35809059,10,negativo
21602737,21603929,36313534,27,negativo
21603896,21603925,35708642,20,negativo
21600575,21600816,35809054,19,negativo
21602734,21601435,35809327,12,negativo
21603929,21603448,35708202,22,negativo
21602732,21603896,35104868,18,negativo
21603131,21603896,36009901,12,negativo
21604559,21604757,36718321,25,negativo
21603756,21603896,37019425,16,negativo
21602737,21604643,35104883,10,negativo
21602732,21603897,45885904,11,negativo
21600096,21604714,35708093,10,negativo
21602338,21603787,35809207,16,negativo
21600663,21603968,35708208,31,negativo
21603967,21604344,37622449,17,negativo
21604433,21604643,43053854,24,negativo
21602338,21602732,36776613,13,negativo
21602256,21603911,36211285,16,negativo
21602485,21603009,35809131,12,negativo
21602485,21603968,35909445,34,negativo
21604711,21604713,36211087,10,negativo
21603758,21603925,37522220,40,negativo
21601423,21603718,36416606,20,negativo
21602485,21604714,37219871,35,negativo
21604433,21604436,43053854,26,negativo
21604562,21604711,35809327,34,negativo
21600816,21603312,35306246,19,negativo
21603288,21603312,35809304,18,negativo
21604344,21604348,36919118,35,negativo
21602096,21604857,36516959,11,negativo
21603080,21603925,788256,15,negativo
21601423,21603929,36110201,31,negativo
21603967,21604344,35708093,41,negativo
21602735,21604889,35708202,13,negativo
21602734,21603927,35708202,16,negativo
21600493,21602734,35809207,11,negativo
21602735,21603968,36315261,27,negativo
21604436,21604714,36718132,10,negativo
21600100,21600575,35708208,12,negativo
21603898,21603929,37522220,13,negativo
21602919,21603312,37219907,23,negativo
21601423,21603800,37219863,20,negativo
21601394,21604571,35104877,12,negativo
21600493,21602919,42889536,12,negativo
21604431,21604714,36416599,11,negativo
21601399,21603929,36110631,19,negativo
21603772,21603992,35104074,10,negativo
21600816,21603911,36516812,20,negativo
21600449,21603549,35708093,12,negativo
21604431,21604574,37320212,10,negativo
21600493,21602931,35104691,10,negativo
21602730,21601435,36718298,11,negativo
21604086,21604272,35204948,11,negativo
21601423,21601428,37080784,20,negativo
21603800,21603804,35909511,13,negativo
21601423,21603908,35809181,11,negativo
21601390,21603851,36009894,22,negativo
21600084,21600493,36718132,10,negativo
21601423,21603777,35104877,41,negativo
21602102,21603448,37219907,23,negativo
21603724,21603795,35104768,14,negativo
21602338,21603895,37522220,25,negativo
21602102,21601423,35707714,11,negativo
21600816,21603497,36718132,15,negativo
21600747,21601789,42890557,12,negativo
21603908,21603929,36110708,21,negativo
21604559,21604757,36718265,11,negativo
21602730,21601390,35708154,15,negativo
21604431,21604711,36315381,10,negativo
21602485,21604712,35909452,12,negativo
21601423,21601429,35909571,12,negativo
21603929,21603968,36516781,14,negativo
21602732,21601423,36110852,12,negativo
21600816,21602256,35809011,12,negativo
21601399,21601435,36110400,10,negativo
21603929,21604260,35809054,14,negativo
21600099,21602485,35909443,23,negativo
21604272,21604402,35204948,10,negativo
21604260,21604571,37622449,14,negativo
21600493,21603967,36919046,11,negativo
21604422,21604543,36919033,12,negativo
21600303,21604344,36110697,10,negativo
21601428,21601435,36313371,11,negativo
21601423,21603908,788653,20,negativo
21602102,21601435,35809243,13,negativo
21602653,21603356,35708093,12,negativo
21602898,21604393,35205345,10,negativo
21601518,21602102,35205388,10,negativo
21601423,21601435,35809131,12,negativo
