drugbank_id,id,type,action,uniprot_id,entrez_id,gene_symbol,atc_concept_id
DB00030,BE0002124,enzyme,activator,P16519,5126,PCSK2,21600743
DB00030,BE0002125,enzyme,activator,P29120,5122,PCSK1,21600715
DB00030,BE0002125,enzyme,activator,P29120,5122,PCSK1,21600723
DB00030,BE0002125,enzyme,activator,P29120,5122,PCSK1,21600729
DB00030,BE0002125,enzyme,activator,P29120,5122,PCSK1,21600743
DB00030,BE0002433,enzyme,inducer,P05177,1544,CYP1A2,21600715
DB00030,BE0002433,enzyme,inducer,P05177,1544,CYP1A2,21600723
DB00030,BE0002433,enzyme,inducer,P05177,1544,CYP1A2,21600729
DB00030,BE0002433,enzyme,inducer,P05177,1544,CYP1A2,21600743
DB00030,BE0000033,target,agonist,P06213,3643,INSR,21600715
DB00030,BE0000033,target,agonist,P06213,3643,INSR,21600723
DB00030,BE0000033,target,agonist,P06213,3643,INSR,21600729
DB00030,BE0000033,target,agonist,P06213,3643,INSR,21600743
DB00030,BE0000858,target,activator,P08069,3480,IGF1R,21600715
DB00030,BE0000858,target,activator,P08069,3480,IGF1R,21600723
DB00030,BE0000858,target,activator,P08069,3480,IGF1R,21600729
DB00030,BE0000858,target,activator,P08069,3480,IGF1R,21600743
DB00030,BE0001123,target,modulator,P16870,1363,CPE,21600715
DB00030,BE0001123,target,modulator,P16870,1363,CPE,21600723
DB00030,BE0001123,target,modulator,P16870,1363,CPE,21600729
DB00030,BE0001123,target,modulator,P16870,1363,CPE,21600743
DB00030,BE0001147,target,downregulator,P48745,4856,CCN3,21600715
DB00030,BE0001147,target,downregulator,P48745,4856,CCN3,21600723
DB00030,BE0001147,target,downregulator,P48745,4856,CCN3,21600729
DB00030,BE0001147,target,downregulator,P48745,4856,CCN3,21600743
DB00030,BE0000942,target,substrate,P98164,4036,LRP2,21600715
DB00030,BE0000942,target,substrate,P98164,4036,LRP2,21600723
DB00030,BE0000942,target,substrate,P98164,4036,LRP2,21600729
DB00030,BE0000942,target,substrate,P98164,4036,LRP2,21600743
DB00030,BE0002126,target,inhibitor,Q16270,3490,IGFBP7,21600715
DB00030,BE0002126,target,inhibitor,Q16270,3490,IGFBP7,21600723
DB00030,BE0002126,target,inhibitor,Q16270,3490,IGFBP7,21600729
DB00030,BE0002126,target,inhibitor,Q16270,3490,IGFBP7,21600743
DB00031,BE0000211,target,activator,P00747,5340,PLG,21601017
DB00032,BE0000387,target,binder,P23945,2492,FSHR,21602600
DB00035,BE0000017,enzyme,inducer,P23219,5742,PTGS1,21602700
DB00035,BE0000262,enzyme,inducer,P35354,5743,PTGS2,21602700
DB00035,BE0000293,target,agonist,P30518,554,AVPR2,21602700
DB00038,BE0000416,target,agonist,Q14626,3590,IL11RA,21603873
DB00039,BE0000748,target,agonist,P21802,2263,FGFR2,21605276
DB00039,BE0002131,target,agonist,P11362,2260,FGFR1,21605276
DB00039,BE0001031,target,ligand,P98160,3339,HSPG2,21605276
DB00040,BE0000527,target,agonist,P47871,2642,GCGR,21602778
DB00040,BE0002134,target,agonist,O95838,9340,GLP2R,21602778
DB00040,BE0000857,target,agonist,P43220,2740,GLP1R,21602778
DB00041,BE0000262,enzyme,inducer,P35354,5743,PTGS2,21603872
DB00041,BE0000657,enzyme,inducer,P47712,5321,PLA2G4A,21603872
DB00041,BE0002638,enzyme,inhibitor,P08684,1576,CYP3A4,21603872
DB00041,BE0002204,enzyme,inducer,P47989,7498,XDH,21603872
DB00041,BE0003533,enzyme,inhibitor,P05181,1571,CYP2E1,21603872
DB00041,BE0000651,target,agonist,P14784,3560,IL2RB,21603872
DB00041,BE0000658,target,agonist,P01589,3559,IL2RA,21603872
DB00041,BE0002102,target,agonist,P31785,3561,IL2RG,21603872
DB00042,BE0002137,target,binder,P63027,6844,VAMP2,21604090
DB00042,BE0002136,target,binder,P23763,6843,VAMP1,21604090
DB00043,BE0000015,target,inhibitor,P12319,2205,FCER1A,21603362
DB00043,BE0002139,target,inhibitor,Q01362,2206,MS4A2,21603362
DB00044,BE0000134,target,agonist,P22888,3973,LHCGR,21602605
DB00046,BE0000033,target,agonist,P06213,3643,INSR,21600718
DB00046,BE0000033,target,agonist,P06213,3643,INSR,21600732
DB00046,BE0000858,target,activator,P08069,3480,IGF1R,21600718
DB00046,BE0000858,target,activator,P08069,3480,IGF1R,21600732
DB00047,BE0000033,target,agonist,P06213,3643,INSR,21600739
DB00047,BE0000858,target,activator,P08069,3480,IGF1R,21600739
DB00048,BE0000025,target,binder,P02452,1277,COL1A1,21602000
DB00048,BE0000025,target,binder,P02452,1277,COL1A1,40254972
DB00048,BE0002140,target,binder,P02458,1280,COL2A1,21602000
DB00048,BE0002140,target,binder,P02458,1280,COL2A1,40254972
DB00048,BE0002130,target,binder,P02461,1281,COL3A1,21602000
DB00048,BE0002130,target,binder,P02461,1281,COL3A1,40254972
DB00050,BE0000203,target,antagonist,P30968,2798,GNRHR,21602721
DB00051,BE0000704,target,antibody,P01375,7124,TNF,21603911
DB00052,BE0000075,target,ligand,P10912,2690,GHR,21602690
DB00052,BE0000345,target,ligand,P16471,5618,PRLR,21602690
DB00054,BE0001155,target,antagonist,P05106,3690,ITGB3,21600997
DB00054,BE0000439,target,antagonist,P08514,3674,ITGA2B,21600997
DB00055,BE0000016,target,multitarget,P00451,2157,F8,21601016
DB00055,BE0000041,target,multitarget,P12259,2153,F5,21601016
DB00056,BE0000674,target,antibody,P20138,945,CD33,21603759
DB00058,BE0000394,target,inhibitor,P08246,1991,ELANE,21601040
DB00059,BE0000537,carrier,inhibitor,P05543,6906,SERPINA7,21603800
DB00060,BE0000661,target,agonist,P17181,3454,IFNAR1,21603864
DB00065,BE0000704,target,inhibitor,P01375,7124,TNF,21603909
DB00066,BE0000387,target,agonist,P23945,2492,FSHR,21602603
DB00066,BE0000387,target,agonist,P23945,2492,FSHR,21602604
DB00068,BE0000661,target,agonist,P17181,3454,IFNAR1,21603865
DB00068,BE0000385,target,agonist,P48551,3455,IFNAR2,21603865
DB00069,BE0000661,target,binder,P17181,3454,IFNAR1,21603866
DB00069,BE0000385,target,binder,P48551,3455,IFNAR2,21603866
DB00071,BE0000033,target,binder,P06213,3643,INSR,21600717
DB00071,BE0000033,target,binder,P06213,3643,INSR,21600725
DB00071,BE0000033,target,binder,P06213,3643,INSR,21600731
DB00071,BE0000033,target,binder,P06213,3643,INSR,21600738
DB00072,BE0000511,target,antibody,P04626,2064,ERBB2,21603757
DB00073,BE0000066,target,antibody,P11836,931,MS4A1,21603756
DB00074,BE0000658,target,antibody,P01589,3559,IL2RA,21603916
DB00074,BE0000651,target,antibody,P14784,3560,IL2RB,21603916
DB00075,BE0000274,target,binder,P07766,916,CD3E,21603893
DB00081,BE0000066,target,antibody,P11836,931,MS4A1,21605589
DB00082,BE0000549,enzyme,inducer,Q02318,1593,CYP27A1,21602696
DB00082,BE0002240,enzyme,inhibitor,P15104,2752,GLUL,21602696
DB00082,BE0002638,enzyme,inducer,P08684,1576,CYP3A4,21602696
DB00082,BE0002180,enzyme,inhibitor,P06276,590,BCHE,21602696
DB00082,BE0000421,enzyme,inhibitor,Q02928,1579,CYP4A11,21602696
DB00082,BE0000075,target,antagonist,P10912,2690,GHR,21602696
DB00083,BE0000390,target,inhibitor,P60880,6616,SNAP25,21604090
DB00083,BE0003572,target,inhibitor,P62745,388,RHOB,21604090
DB00086,BE0000657,enzyme,inducer,P47712,5321,PLA2G4A,21601007
DB00086,BE0000211,target,activator,P00747,5340,PLG,21601007
DB00086,BE0000928,target,cleavage,P25116,2149,F2R,21601007
DB00087,BE0000083,target,antibody,P31358,1043,CD52,45893494
DB00091,BE0001032,transporter,substrate,P08183,5243,ABCB1,21603924
DB00091,BE0000703,transporter,substrate,O95342,8647,ABCB11,21603924
DB00091,BE0003643,transporter,inhibitor,Q12908,6555,SLC10A2,21603924
DB00091,BE0003644,transporter,inhibitor,Q14973,6554,SLC10A1,21603924
DB00091,BE0001066,transporter,substrate,Q4U2R8,9356,SLC22A6,21603924
DB00091,BE0003651,transporter,substrate,Q5T3U5,89845,ABCC10,21603924
DB00091,BE0001069,transporter,inhibitor,Q92887,1244,ABCC2,21603924
DB00091,BE0001067,transporter,inhibitor,Q9UNQ0,9429,ABCG2,21603924
DB00091,BE0001004,transporter,substrate,Q9Y6L6,10599,SLCO1B1,21603924
DB00091,BE0003659,transporter,inhibitor,Q9NPD5,28234,SLCO1B3,21603924
DB00091,BE0002362,enzyme,substrate,P20815,1577,CYP3A5,21603924
DB00091,BE0002638,enzyme,substrate,P08684,1576,CYP3A4,21603924
DB00091,BE0003536,enzyme,inhibitor,P33261,1557,CYP2C19,21603924
DB00091,BE0002363,enzyme,inhibitor,P10635,1565,CYP2D6,21603924
DB00091,BE0000379,target,binder,P49069,819,CAMLG,21603924
DB00091,BE0002143,target,inhibitor,Q96LZ3,5535,PPP3R2,21603924
DB00091,BE0001014,target,inhibitor,P62937,5478,PPIA,21603924
DB00091,BE0001399,target,binder,P30405,10105,PPIF,21603924
DB00092,BE0000719,target,inhibitor,P06729,914,CD2,21603899
DB00094,BE0000387,target,agonist,P23945,2492,FSHR,21602602
DB00095,BE0000516,target,antibody,P20701,3683,ITGAL,21603902
DB00095,BE0009967,target,antibody,P20702,3687,ITGAX,21603902
DB00097,BE0000387,target,binder,P23945,2492,FSHR,21602606
DB00098,BE0000598,target,inhibitor,P06126,909,CD1A,21603895
DB00098,BE0003573,target,antagonist,Q95460,3140,MR1,21603895
DB00098,BE0000846,target,binder,P42081,942,CD86,21603895
DB00099,BE0000793,target,stimulator,Q99062,1441,CSF3R,21603851
