stage,log_lower90,log_ior,permutation
7,-0.00485869176410665,1.15243624687622e-05,1
1,-0.980848639392287,-0.114584237799739,1
2,-0.495464840145769,0.0525224764338139,1
3,-0.548295298439515,0.220677729838719,1
4,-0.869982348671416,0.387797032524976,1
5,-1.23379297809771,0.549166242961641,1
6,-1.58744389102252,0.700155311136553,1
7,-1.94427315293048,0.846532792259882,1
1,-0.254946027938451,0.0434638958315272,1
2,-0.240592479152096,-0.0282281818935104,1
3,-0.31934974414341,-0.100877661301655,1
4,-0.47737916067604,-0.173708218113987,1
5,-0.666439599269934,-0.246327525991283,1
6,-0.869377146954842,-0.318634022329032,1
7,-1.08393563074062,-0.390963137614792,1
1,-0.0115437926561318,2.99085864137183e-05,1
2,-0.0195704179238054,0.000160664205905992,1
3,-0.0327226094318581,0.00028857031560614,1
4,-0.0464190157598708,0.000412896688275488,1
5,-0.0601740564765536,0.000535290650965692,1
6,-0.0741536488391409,0.000658582754927473,1
7,-0.0883666593568442,0.000782930816362715,1
1,-0.782107536667301,0.003440840047924,1
2,-8.37683020759502,0.0380680661057751,1
3,-15.9635194869221,0.0725549434690267,1
4,-23.5226838029319,0.106913644488931,1
5,-31.365327145397,0.142560147685057,1
6,-39.668071248267,0.180297624899855,1
7,-48.4300922446693,0.220122354445789,1
1,-0.00503239762059296,-8.09639797694217e-06,1
2,-0.00533630018965104,-2.46943035593361e-05,1
3,-0.00741174556505499,-4.1070516891395e-05,1
4,-0.0100911646250129,-5.69098551279623e-05,1
5,-0.0129204118221955,-7.18982282359448e-05,1
6,-0.0158119634923748,-8.61062287285108e-05,1
7,-0.0188033371770352,-0.000100015459458813,1
1,-0.954238456015548,-0.108424931527265,1
2,-0.486263547139608,0.0539200884721982,1
3,-0.556030639095164,0.21725676393656,1
4,-0.882584029330267,0.379578263171641,1
5,-1.24816271599105,0.536301969223493,1
6,-1.60254489436534,0.682894664978481,1
7,-1.95930505508705,0.824949642614281,1
1,-0.0149081377352687,-2.56809208938336e-05,1
2,-0.0116365487477488,-6.10582176729935e-06,1
3,-0.0147068974557981,1.40457912003455e-05,1
4,-0.0214299615515278,3.53958196486204e-05,1
5,-0.0295818633264445,5.83836307708197e-05,1
6,-0.0384700223307757,8.24757544792831e-05,1
7,-0.047692227030566,0.000106139539762573,1
1,-1.80759190994661,-0.209445682230603,1
2,-1.89459236815249,-0.524439801141249,1
3,-2.34206530653685,-0.837664903880353,1
4,-3.00922270587868,-1.1467330671451,1
5,-3.76778542331793,-1.44700177543238,1
6,-4.5750428234637,-1.73264932939308,1
7,-5.43538876487032,-2.00312278390049,1
1,-1.15256622533729,-0.026263636624563,1
2,-1.2670236089593,-0.332222196600696,1
3,-1.50379768235496,-0.637025214037212,1
4,-1.81638651870536,-0.938341753501064,1
5,-2.15623168331851,-1.2320536558748,1
6,-2.51295218733605,-1.51200002786209,1
7,-2.92311080429052,-1.77544076221933,1
1,-0.152549136733848,0.00324419840521806,1
2,-0.190745209834987,-0.0257105233880619,1
3,-0.320735181715449,-0.0547400149844655,1
4,-0.474307979490884,-0.0836940743640362,1
5,-0.633425739903063,-0.112470827902411,1
6,-0.796217824166077,-0.141232459724227,1
7,-0.96260184185469,-0.170029147724365,1
1,-46.2580664534278,0.0732127983311042,1
2,-94.8894832496832,0.150187379491344,1
3,-140.984517866395,0.223145579328137,1
4,-180.544616014427,0.285760074718873,1
5,-210.890760416761,0.333790796512583,1
6,-232.190009269674,0.36750213462587,1
7,-248.226133675819,0.392882873555406,1
1,-0.760156091025065,0.619580353562028,1
2,-0.388259147666424,0.743497940739014,1
3,-0.151342652104083,0.843336028993858,1
4,-0.0769932615832858,0.89860140226626,1
5,-0.228935855798059,0.899610800522544,1
6,-0.604797285892032,0.87338764223499,1
7,-1.12030840035645,0.835620062586017,1
1,-0.189246928701343,-0.0133761578244433,1
2,-0.1104315295083,0.0293872263753179,1
3,-0.0907782462368546,0.072185907179207,1
4,-0.107098040475147,0.114817799664483,1
5,-0.137526219956859,0.157658961244072,1
6,-0.175281400861039,0.200393729644251,1
7,-0.219872963682553,0.243191094726178,1
1,-0.424378359962928,-0.0413076785848698,1
2,-0.447639562550992,-0.137814312554695,1
3,-0.502577181851634,-0.233388146006343,1
4,-0.579232708591929,-0.327202004878761,1
5,-0.673357599257845,-0.419331211771236,1
6,-0.798665056900024,-0.512672986017474,1
7,-0.963793513948053,-0.606847385065818,1
1,-0.0135448466912225,-9.24697729409729e-06,1
2,-0.0150854847964644,-2.51975869698384e-05,1
3,-0.0212337650131158,-4.09674603103483e-05,1
4,-0.0288980788392245,-5.64614886857662e-05,1
5,-0.0370063205086249,-7.15990646797948e-05,1
6,-0.0453383681944794,-8.64213146840598e-05,1
7,-0.0539285793678088,-0.000101087480241624,1
1,0.505698015592462,1.94467337231854,1
2,0.327041989725488,1.28211090355995,1
3,-0.12225629783594,0.628019573131106,1
4,-0.738999274514347,0.082541241331187,1
5,-1.2705105972824,-0.298030130765931,1
6,-1.66362822585305,-0.507325230914868,1
7,-2.0549444336611,-0.64697132137185,1
1,0.682712768709461,2.42336245766007,1
2,1.09659850852325,2.09991814266395,1
3,1.2338460008406,1.8770463252518,1
4,0.949327330290648,1.49499676163209,1
5,0.243606146247689,0.617596598797338,1
6,-0.467239950236311,-0.0891208908027816,1
7,-1.42660006292399,-0.735014359955305,1
1,-0.00472247660609595,-1.28547695243952e-06,1
2,-0.00459958641249263,-1.68583377258003e-05,1
3,-0.00632581607330566,-3.23928358616499e-05,1
4,-0.00877098944075964,-4.7798916769537e-05,1
5,-0.0114380186680922,-6.29308887916125e-05,1
6,-0.0142095606197033,-7.76989972468556e-05,1
7,-0.0170853210353064,-9.22174154283084e-05,1
6,1.47261858939631,1.98445234271913,1
7,-1.3862041416694,0.365548337681581,1
1,-0.0074389755841827,1.97714659995185e-05,1
2,-0.00998599860325505,3.22967503247895e-05,1
3,-0.01344154572745,4.43425505398665e-05,1
4,-0.0170894706157658,5.57482649163887e-05,1
5,-0.0206884477930815,6.63473265092307e-05,1
6,-0.0239946422141492,7.53036868124113e-05,1
7,-0.0271624940862863,8.31837603012531e-05,1
1,-0.00731757791286395,-1.38727524028326e-05,1
2,-0.00759591034581873,-4.38942181908431e-05,1
3,-0.0104496822177177,-7.33587974073302e-05,1
4,-0.0141736341835314,-0.00010109097471922,1
5,-0.0180601514012665,-0.000125972844978506,1
6,-0.0219864816681553,-0.000148197474985068,1
7,-0.026064557505581,-0.000169632088775629,1
1,-0.0153219282950308,-1.19999009733363e-05,1
2,-0.0136972866571173,-0.000144335578306176,1
3,-0.0169774423937563,-0.000276231613388855,1
4,-0.0227799170827328,-0.000406835847991616,1
5,-0.0295398030405789,-0.000535049857286474,1
6,-0.0368321748159966,-0.000660687280481742,1
7,-0.0446195026667917,-0.000785250853379438,1
1,-0.399201154930297,-0.00166689153229438,1
2,-0.444546639781358,-0.108575328856063,1
3,-0.562303335024377,-0.215366029723637,1
4,-0.727775719713823,-0.321686410657436,1
5,-0.913833553723603,-0.42659754500689,1
6,-1.1120406234543,-0.529579396400502,1
7,-1.33412736008116,-0.634028349159257,1
1,-1.74515954877759,0.37177030371002,1
2,-1.63537692622724,-0.159977379149202,1
3,-1.96512674971392,-0.702590514557181,1
4,-2.89662231900875,-1.26623858110527,1
5,-4.16832600840259,-1.8313869943297,1
6,-5.56093535642461,-2.38462549980065,1
7,-7.02626456481607,-2.92931151915202,1
1,-2.71363456122055,0.00483322544445386,1
2,-6.99020690947235,0.0124565474347538,1
3,-11.1920806440415,0.0199450875254694,1
4,-15.2203802746802,0.0271240524704091,1
5,-18.9394582738265,0.0337518783541668,1
6,-22.3485864146878,0.0398272920637446,1
7,-25.6806368160608,0.0457652866847536,1
1,-0.296966653495371,0.0419334003004019,1
2,-0.173693227320948,0.11359567258758,1
3,-0.1316719735577,0.182456593733059,1
4,-0.143425777473089,0.246627323145846,1
5,-0.180861498147442,0.308635998977721,1
6,-0.237171727378306,0.366006643366896,1
7,-0.313848709531251,0.417887115226439,1
1,-2.18707737753486,0.0379939937467917,1
2,-2.28216603148067,-0.387081412519677,1
3,-2.93640102080692,-0.81335182583129,1
4,-3.93690238189921,-1.24213422883922,1
5,-5.09106060276459,-1.67368789242825,1
6,-6.33818147331942,-2.10608006169843,1
7,-7.67474792202051,-2.53638794426152,1
1,-1.66985802025843,-0.544837229593793,1
2,-1.92083153377933,-1.24098264218049,1
3,-2.53953047433315,-1.84335243224907,1
4,-2.93465926525702,-2.16039951467922,1
5,-2.73600275832064,-2.05540408064736,1
6,-1.96543286906396,-1.48298561396637,1
7,-1.59589919071335,-0.681803584171616,1
1,-0.801110781810223,-0.0840756711068762,1
2,-0.523200820344353,0.0182318744088459,1
3,-0.517937607680628,0.121853520866724,1
4,-0.689901353354442,0.227315942071353,1
5,-0.933319533147749,0.338319012616668,1
6,-1.21963329306059,0.455571576321517,1
7,-1.52669546072436,0.571620921906871,1
1,-0.183940682537244,0.000561433165813696,1
2,-0.12383209573798,0.0356275959361696,1
3,-0.107742520483875,0.0706027410790409,1
4,-0.11821729356808,0.105232209133613,1
5,-0.140301224100766,0.139006425341295,1
6,-0.169870237369356,0.171061452829426,1
7,-0.207870749474495,0.20088221561508,1
1,-0.00530030130900754,1.29824366137399e-05,1
2,-0.00515048944492568,2.37049814009183e-05,1
3,-0.00659873742510339,3.40881647251656e-05,1
4,-0.00873584372366489,4.37305938825183e-05,1
5,-0.0110839864289759,5.19794085493963e-05,1
6,-0.0135463501552231,5.90314174324647e-05,1
7,-0.0161550827496635,6.56533816929539e-05,1
1,-0.376295685930267,0.0137366117991835,1
2,-0.413252938597456,-0.0971673252431433,1
3,-0.520823936626654,-0.208583250493175,1
4,-0.684209427325314,-0.321212775225624,1
5,-0.878418022039472,-0.43457875526173,1
6,-1.09158084606614,-0.547428257342193,1
7,-1.32529155151141,-0.659948770873434,1
1,-0.282900667209017,0.0182614895815227,1
2,-0.304644948489826,-0.0646198727435081,1
3,-0.387541352489517,-0.14781066263178,1
4,-0.51763478783871,-0.231193969348591,1
5,-0.678051321462222,-0.316917901129895,1
6,-0.864942805528408,-0.406399970795623,1
7,-1.07027352110967,-0.496782318733598,1
1,-0.0207360374462944,-1.37614528012975e-05,1
2,-0.0312572124048126,0.000354617494208842,1
3,-0.0564706086419201,0.000723343682637267,1
4,-0.0839077734939491,0.00109345126951332,1
5,-0.111617150420383,0.00145990505866722,1
6,-0.138750942424011,0.00181403747684517,1
7,-0.165503247202678,0.00215899753157123,1
1,-0.00352618102965931,7.93879830318645e-07,1
2,-0.00314657718950825,-1.49255867665232e-06,1
3,-0.00399807824424268,-3.84222622340502e-06,1
4,-0.00546641162638736,-6.3979809423742e-06,1
5,-0.00719034036776306,-9.31198144193957e-06,1
6,-0.00905737181698306,-1.24347858685425e-05,1
7,-0.0110157051535683,-1.54161770486994e-05,1
1,-0.357794818592781,-0.0439152781023537,1
2,-0.381311836291273,-0.11786673557916,1
3,-0.487850917117028,-0.192597827466591,1
4,-0.643514117665994,-0.266810645466812,1
5,-0.815708962269133,-0.337174600578271,1
6,-0.990992910886716,-0.399016364619575,1
7,-1.17458411482427,-0.456092285623855,1
1,-0.00505179357804446,-4.42443754522515e-07,1
2,-0.00488878682363711,-1.16660569293714e-06,1
3,-0.0064090771507939,-1.88317829685758e-06,1
4,-0.0086486168656272,-2.58808497477503e-06,1
5,-0.0111388240642647,-3.2784116648088e-06,1
6,-0.013767505490151,-3.95670708819296e-06,1
7,-0.0165321235654181,-4.62894935537861e-06,1
1,-0.00559331053804052,1.05544564554805e-06,1
2,-0.0052595908691627,1.17353516309038e-05,1
3,-0.00698854898983238,2.23842237661032e-05,1
4,-0.00959477534164058,3.29750422611852e-05,1
5,-0.0125184837353605,4.37294126696131e-05,1
6,-0.0156474173446978,5.49700027745459e-05,1
7,-0.0189715883138067,6.67292702742905e-05,1
1,-0.0149415042900961,1.39738865412298e-05,1
2,-0.0209530424633996,0.00010567692726049,1
3,-0.0344619939181176,0.000196564409073119,1
4,-0.0491610488599678,0.000284994076428902,1
5,-0.0639358736495366,0.000370931237959837,1
6,-0.07876735712849,0.00045564814958432,1
7,-0.0936831658941613,0.000539412490160984,1
1,-0.00602508757469135,-2.24189382427298e-05,1
2,-0.0052742524397277,-1.47463113173707e-05,1
3,-0.00641468615955336,-6.56739255511241e-06,1
4,-0.00856761950537323,2.74682924583658e-06,1
5,-0.0111213534480688,1.34936254960749e-05,1
6,-0.0138999167867357,2.48581059540953e-05,1
7,-0.0168777574052021,3.63319443574817e-05,1
1,-0.252673802728946,-0.0153057483940646,1
2,-0.162990555137195,0.030772508583778,1
3,-0.192861972267676,0.0775054074907424,1
4,-0.280930754784742,0.126310110038401,1
5,-0.393591514266494,0.177813664673881,1
6,-0.519883807287898,0.230999448233102,1
7,-0.652837972014094,0.284287551590323,1
1,-0.504589345751732,0.0272221940044828,1
2,-0.332440089234092,0.15976888327894,1
3,-0.304714233566672,0.29076133198451,1
4,-0.345947841434574,0.419335243368993,1
5,-0.408032569136471,0.542137322389614,1
6,-0.47873672223826,0.656945209760774,1
7,-0.565229805664613,0.766857343319027,1
1,-0.095960116979951,0.000158076604925839,1
2,-0.132348895552505,-0.0149487642447297,1
3,-0.220634122043571,-0.0300656002626853,1
4,-0.321154619160692,-0.0452202435130937,1
5,-0.425638791431857,-0.0604692877994384,1
6,-0.532850771600261,-0.0758445538560135,1
7,-0.641721338573129,-0.0912185220432473,1
1,-0.383689634879105,0.0167681928820693,1
2,-0.185650255858998,0.13316659548731,1
3,-0.0368088875242411,0.249121192746475,1
4,0.0716407067948792,0.364307319800997,1
5,0.151277626191205,0.4790569170394,1
6,0.203242500256475,0.593023663365008,1
7,0.223298823757025,0.708253492967195,1
1,-0.027347491319368,0.00013175413974853,1
2,-0.0378468221901919,-0.000418176127001235,1
3,-0.0753851445814559,-0.000971342741671766,1
4,-0.116095912130669,-0.00152537736797065,1
5,-0.157354831981899,-0.00207787918934343,1
6,-0.198879469489511,-0.00262989752905618,1
7,-0.240870421547167,-0.00318488166398545,1
1,-0.0145174200482838,-3.01131895685813e-06,1
2,-0.0174661873791394,-6.74669623035307e-05,1
3,-0.0280321924827117,-0.000132049038344739,1
4,-0.0398949175508806,-0.000192906783467617,1
5,-0.0516325433574682,-0.000249492531696482,1
6,-0.0638612798478326,-0.000307558795336504,1
7,-0.0766356728983086,-0.000367591217024454,1
1,-0.00893699297647518,-1.3070524104819e-05,1
2,-0.00793687343625626,-1.40562651984588e-05,1
3,-0.00975909639356152,-1.53007275685013e-05,1
4,-0.0130386855362186,-1.6720568017714e-05,1
5,-0.016880373072985,-1.87284988184544e-05,1
6,-0.0210436961113654,-2.22905270814699e-05,1
7,-0.0255003978191641,-2.68150078452933e-05,1
1,1.56263533066437,2.85379737220752,1
2,2.22277477456498,2.91780578670996,1
3,2.36841508558041,2.85427612151006,1
4,2.14580134104863,2.52000410038501,1
6,1.19041147446197,1.5010265718512,1
7,0.460174741530845,1.03316770303483,1
1,-1.8757380203607,-0.0254348952977095,1
2,-1.96901634374574,-0.369474997738167,1
3,-2.56463470309036,-0.713703729495155,1
4,-3.45136056470181,-1.05782136693304,1
5,-4.45965996345511,-1.40050905426816,1
6,-5.53901093309345,-1.7404075078341,1
7,-6.68696612749284,-2.07789416741596,1
1,-1.0741010677709,0.104990511418356,1
2,-1.11357986690279,-0.128184281058834,1
3,-1.4307960328641,-0.36453180157517,1
4,-1.9396750028012,-0.608483325317208,1
5,-2.55016669388317,-0.865184380946015,1
6,-3.23537017413839,-1.13768488738333,1
7,-3.98613842522772,-1.41961896217457,1
1,-0.554996400243486,0.0346525331119794,1
2,-0.592003287114556,-0.118463086272898,1
3,-0.731896269148604,-0.2725363772543,1
4,-0.957292244092515,-0.428735008657571,1
5,-1.23715527251188,-0.58804815378188,1
6,-1.56008071889949,-0.750579264694044,1
7,-1.92364170736706,-0.91483577973787,1
1,-1.90422787517,-0.231663728780084,1
2,-0.936969630218368,0.336401867497234,1
3,-0.093871758078349,0.910353031675973,1
4,0.654560512904245,1.4970335607281,1
5,1.30494819237149,2.09718555826349,1
1,-2.57115940478312,-0.174912694003726,1
2,-1.33595121240206,0.54900988906728,1
3,-0.451878071322328,1.27728367744654,1
4,0.129432611577111,2.01494056232979,1
5,0.513532328466868,2.76521665243607,1
6,0.748713220120692,3.5158312756781,1
7,0.840388473589254,4.23278620536895,1
1,-0.0081466860735125,3.30758777149498e-05,1
2,-0.0128227146964063,0.00010009530414834,1
3,-0.0201448960709417,0.000167157877956292,1
4,-0.0280469809436473,0.000234333449040669,1
5,-0.0361817186479104,0.000302070403532362,1
6,-0.0445124012897037,0.000370767767476909,1
7,-0.0529215765259958,0.000439322392843611,1
1,-0.00282997481974423,2.59976608774082e-06,1
2,-0.00231434435021399,5.33567477312147e-07,1
3,-0.00292259848168932,-1.59580321579256e-06,1
4,-0.00413853269149771,-3.76540104518597e-06,1
5,-0.0055237755529205,-5.7504247141793e-06,1
6,-0.00696816354095498,-7.57164706488567e-06,1
7,-0.008472432200978,-9.31362073330888e-06,1
1,-0.263000829098953,-0.0331367505289437,1
2,-0.296211427659003,-0.0685364022150252,1
3,-0.358558466346235,-0.103481826336574,1
4,-0.435698584546391,-0.13776035113104,1
5,-0.516527787142856,-0.170507281589205,1
6,-0.598299248018277,-0.201304035383032,1
7,-0.686770830247041,-0.231286654323606,1
1,-0.0067613189954996,-1.08219282402011e-05,1
2,-0.00759932134023516,5.31161044423634e-05,1
3,-0.0128567037705792,0.000117320974965196,1
4,-0.019140952890645,0.000182245476501919,1
5,-0.0257615442013195,0.000248322621213326,1
6,-0.0326065499785283,0.000315731037018985,1
7,-0.0396207223248612,0.000383951256758941,1
1,-0.157053038161058,0.000754073965560931,1
2,-0.18724932601774,-0.0315859574570774,1
3,-0.283677251988818,-0.0639448729735577,1
4,-0.403639994342034,-0.0961431602530056,1
5,-0.531148671057597,-0.128250828640065,1
