triplet_id,type,max_ior,mean_ior,n_stages_significant
1686,negative,1.41309996544127,1.16783985967663,0
1687,negative,2.6658981556953,2.08683362728888,1
1688,negative,39.2179687672417,5.80304565992852,1
1689,negative,1.00034782670676,1.00017127272214,0
1690,negative,1.03853563417769,0.772320270404291,0
1691,negative,0.859304776755535,0.22377144020257,0
1692,negative,47.1405050602658,6.8772469528519,1
1693,negative,211.140647899946,48.5015896424124,4
1694,negative,1.12147612841796,1.06769584752209,0
1695,negative,1.88166760476681,1.40538929719364,3
1696,negative,4.77122047590741,1.77514055613459,1
1697,negative,1.0000033847516,0.999924655166427,0
1698,negative,55.7612611456888,31.2877303457291,2
1699,negative,1.09893719627012,1.04987786291837,0
1700,negative,0.865785030091352,0.56848808919657,0
1701,negative,1.00001343592786,1.00000142918233,0
1702,negative,4.88850623150397,2.511442412636,2
1703,negative,1.00000737662481,1.00000318557335,0
1704,negative,8.9999614970197,7.31535175580429,7
1705,negative,0.22052949078806,0.191817367828285,0
1706,negative,0.602295785778087,0.367097842374436,0
1707,negative,1.08666972725721,0.741006992710249,0
1708,negative,51.3771253082479,14.1786036792993,0
1709,negative,2.30023867493732,1.55124150475057,0
1710,negative,1.17739434398561,1.08547394105447,0
1711,negative,1.68956922326084,1.31043065330342,0
1712,negative,0.0908260740451071,0.0365530208096041,0
1713,negative,3.23623051842184,2.28157577772993,0
1714,negative,1.00006066124676,1.00002516498603,0
1715,negative,0.947390753327938,0.800862994350979,0
1716,negative,1.6420514656809,1.28149647334093,0
1717,negative,1.60786286272992,1.26916947486306,0
1718,negative,1.29218772485874,0.616670287048609,0
1719,negative,2.2848700424933,1.40123686094769,0
1720,negative,1.00011311652223,1.00005323707324,0
1721,negative,0.60913984901237,0.435958600237111,0
1722,negative,2219945.64304616,334518.794228318,0
1723,negative,2.51722673352035,1.0747358782754,2
1724,negative,1.1008669974811,0.731663498447922,0
1725,negative,0.9699115597174,0.798505218610752,0
1726,negative,406.047894619689,96.1953028278334,3
1727,negative,1.00000176202198,0.999994203935863,0
1728,negative,1.00015059446731,1.00007754741802,0
1729,negative,0.902641181055462,0.702884470550919,0
1730,negative,2.17649859508275,1.51624768057828,0
1731,negative,3.61276528663894,1.03044283679484,1
1732,negative,1.00000253770228,0.999961621352635,0
1733,negative,0.575655915920122,0.323246012259416,0
1734,negative,1.0000234073384,1.00000723738861,0
1735,negative,35.4146755414078,14.0628690122646,5
1736,negative,6.26831026170938,3.14681107694372,4
1737,negative,1.00000807182394,0.999971440784982,0
1738,negative,122.524042084459,21.1632632095891,2
1739,negative,157638.344467954,28965.0273691388,5
1740,negative,1.00000048250327,0.999998671395511,0
1741,negative,5.1818220915942,3.626652593114,5
1742,negative,14.1096197778239,6.0794641043426,2
1743,negative,0.9590801208786,0.781333912700781,0
1744,negative,0.101759829672868,0.0811830897246461,0
1745,negative,123.793102546664,31.8146232244322,4
1746,negative,0.832686499991299,0.493106050546612,0
1747,negative,0.138365599627053,0.123712113601536,0
1748,negative,4.31574577200872,3.78374892530382,2
1749,negative,3.84954165064723,1.88421571065436,0
1750,negative,1.00000296385654,0.999993752954472,0
1751,negative,1.1846395036322,1.08021989728583,0
1752,negative,12996.2387860555,1887.49233035615,1
1753,negative,2.38574357150158,1.57550160864521,0
1754,negative,0.960929696999948,0.637837737260891,0
1755,negative,1.00302803654132,0.951532448170644,0
1756,negative,0.985881549430107,0.842200181812734,0
1757,negative,1.45625664390795,0.452358965558668,0
1758,negative,2.15143817231512,1.45848099085092,0
1759,negative,1.62693095873983,1.2580677065429,0
1760,negative,3.3092943543842,1.88388050314767,4
1761,negative,1.00004110040103,0.999723104693492,0
1762,negative,1.51133915848284,0.778683275913325,0
1763,negative,1.00000189915399,0.999992672367463,0
1764,negative,0.98740076354662,0.862159465987125,0
1765,negative,1.78797051855734,1.35228629970054,0
1766,negative,0.999984150967997,0.99991153962676,0
1767,negative,264.390597971841,38.1830308748677,1
1768,negative,8.99299968325591,3.60758115406739,0
1769,negative,1.00001016967826,1.00000587601266,0
1770,negative,0.728263815858295,0.276274409664964,0
1771,negative,56.2363849969804,14.111999107655,3
1772,negative,1.00151276736933,1.0006914473578,0
1773,negative,5456.90368307824,1515.12952120001,2
1774,negative,0.416687468058915,0.268898173844622,0
1775,negative,52.2848792781759,7.48050358410987,1
1776,negative,1.81035398440053,1.42138332227983,0
1777,negative,0.173823849741529,0.127237857209098,0
1778,negative,1.02674366596598,0.651671699027919,0
1779,negative,14.0748656797566,6.57767763746988,3
1780,negative,6.03395810389132,2.58936794788029,0
1781,negative,1.00002573035892,0.999969960770103,0
1782,negative,70673.4072577644,18176.1813535061,2
1783,negative,1.00000707608447,1.00000543129569,0
1784,negative,0.358803986635329,0.217123333770267,0
1785,negative,1.00021922217073,0.999840451408958,0
1786,negative,2.13445205249708,0.79317456415159,0
1787,negative,133.370205368315,47.1275466064178,6
1788,negative,1.00009580211889,1.00004962331809,0
1789,negative,0.777289506409352,0.603794248614357,0
1790,negative,1272.87322887415,619.528533054752,3
1791,negative,0.999981773158151,0.999930994115743,0
1792,negative,0.843636123199543,0.212426824693309,0
1793,negative,1.04312859758807,0.644229330984788,0
1794,negative,5.01233462265872,3.0436523860303,5
1795,negative,0.986866633836642,0.875727308161881,0
1796,negative,0.360381630051498,0.109236870032488,0
1797,negative,0.542147350544141,0.435119547504123,0
1798,negative,0.877335516258486,0.583962632292418,0
1799,negative,5134.53089626048,1729.62015313963,0
