triplet_id,drugA,drugB,meddra,type,N,model_success,n_coadmin,n_events,n_stages_significant,max_ior,mean_ior,model_aic,stage,log_ior,log_ior_lower90,ior_values
501,21601423,21603925,36776613,negative,11,TRUE,801,4277,0,1.0002372062382,1.00010558931193,43256.6623205486,"1,2,3,4,5,6,7","-3.30446075924584e-05,1.41518364631388e-05,6.17438986592056e-05,0.000108873197747883,0.000153889761275838,0.000196265276610319,0.000237178109246727","-0.00953753805126403,-0.00805807278375189,-0.0112949412044475,-0.0164552839514236,-0.0220574072631596,-0.02776322844889,-0.0336056306029847","0.999966955938375,1.0000141519366,1.00006174580485,1.00010887912465,1.00015390160291,1.0001962845379,1.0002372062382"
502,21600303,21605129,35809327,negative,13,TRUE,311,13250,3,15.7999666586407,4.78984352115049,104749.404184337,"1,2,3,4,5,6,7","2.76000782981808,1.90598586689366,1.23596409833613,0.809856497989785,0.584125115408104,0.512789538672556,0.615324998140637","0.199808432542163,0.403496118195874,0.226814545137753,-0.0416960443458193,-0.156361885628736,-0.226334768503074,-0.508725524532746","15.7999666586407,6.72603533564221,3.44169505419123,2.24758543050589,1.79342126244741,1.66994307441754,1.85025783220846"
503,21600399,21604559,37522220,negative,18,TRUE,169,16798,0,1.23480830255029,0.494512901038619,118858.437568262,"1,2,3,4,5,6,7","0.21091573742492,-0.19434605258252,-0.604689326120656,-1.0271773891399,-1.45528787616288,-1.84657388323938,-2.22526380231859","-1.03257608482235,-1.11474703551085,-1.27410983095113,-1.51251977661394,-1.89304276141545,-2.43338165089736,-3.12056134934261","1.23480830255029,0.823372924635505,0.54624410405605,0.358016075792998,0.233333183170307,0.15777680310599,0.108038913959195"
504,21601518,21604643,35104877,negative,11,TRUE,198,1961,4,11.0441504191797,3.84907977642659,22725.9398253041,"1,2,3,4,5,6,7","-0.488343028173269,-0.0575026539681547,0.383884358263003,0.85277451021813,1.36170951099533,1.89079962267525,2.40190091396607","-1.65261748105885,-0.95642904465232,-0.364681429470008,0.179339131336384,0.695144844513524,1.10447265218944,1.36574116720141","0.613642340324512,0.944119384720316,1.46797567260933,2.34614723954947,3.90285958350204,6.62466379510079,11.0441504191797"
505,21601392,21603929,36110852,negative,12,TRUE,412,347,0,0.422962493488618,0.253535877807389,4750.44851543033,"1,2,3,4,5,6,7","-1.41870525757787,-1.52033556810856,-1.58993409944885,-1.61245090178934,-1.5548216080669,-1.28533273664722,-0.860471771742694","-2.87400002832535,-2.5229253198539,-2.41569606482317,-2.38062536501831,-2.2770903359912,-2.12318836970746,-2.48544630252552","0.242027176975808,0.218638506530745,0.203939050987242,0.199398309028382,0.211227060483802,0.276558547157126,0.422962493488618"
506,21602485,21604562,36918858,negative,10,TRUE,40,5116,0,0.999999833539941,0.999996530272678,47709.6630371008,"1,2,3,4,5,6,7","-1.66460073280916e-07,-1.29240067003877e-06,-2.41263397526836e-06,-3.51610543170011e-06,-4.58418988591447e-06,-5.61912155383482e-06,-6.69723832746882e-06","-0.00644109563108329,-0.00570430506019371,-0.00703202715975739,-0.00942114235289913,-0.0122136650615161,-0.0152309979183558,-0.0184570479154583","0.999999833539941,0.999998707600165,0.999997587368935,0.99999648390075,0.999995415820621,0.999994380894233,0.999993302784099"
507,21604544,21604571,35204970,negative,17,TRUE,285,1260,0,1.54989513669344,1.27135508151981,15724.575334982,"1,2,3,4,5,6,7","-0.00293803669515125,0.0797411309108407,0.161016049734858,0.239131986403952,0.311887943479253,0.377522236764559,0.438187274896372","-0.325292222075506,-0.224828987859707,-0.211061820860215,-0.231353816771019,-0.25427633967575,-0.271538210471519,-0.292231264053652","0.997066275110878,1.08300667443259,1.17470382234746,1.27014616754624,1.36600161506463,1.45866587944343,1.54989513669344"
508,21600493,21603980,36918858,negative,10,TRUE,214,5116,0,1.00051794410147,1.00024047823295,49604.753856941,"1,2,3,4,5,6,7","-2.87361903019701e-05,5.85696710411199e-05,0.000146642702352651,0.000236458605110457,0.000328850369685885,0.000423433794134453,0.000517810014722286","-0.0102122551544795,-0.010469124707045,-0.0183361423028367,-0.0280007032245074,-0.0382831384030132,-0.0489420342569551,-0.0597331740874017","0.999971264222578,1.00005857138628,1.00014665345492,1.00023648656365,1.0003289044469,1.00042352345488,1.00051794410147"
509,21603967,21604431,35809310,negative,16,TRUE,126,3464,4,4.79793026006608,2.50176705594503,36514.201535485,"1,2,3,4,5,6,7","-0.0614195250606091,0.220919122687877,0.503309187199915,0.785138980077751,1.06394909737332,1.33027887399487,1.56818462910263","-0.936439212440268,-0.467294543117484,-0.0759457189141478,0.261542508280588,0.566433731188251,0.824143547227299,0.980301654368317","0.940428623630789,1.247222554477,1.65418623533376,2.19271166279496,2.89779208602868,3.78209796928391,4.79793026006608"
510,21603967,21604857,35909443,negative,10,TRUE,87,1123,0,1.00001452068899,1.00000715957879,12729.5204949512,"1,2,3,4,5,6,7","-2.3704127727342e-07,2.22533482485687e-06,4.69261896896001e-06,7.16745819673292e-06,9.64454923035873e-06,1.21032836624124e-05,1.452058357021e-05","-0.00309696155918466,-0.00277382881259497,-0.00349785522941484,-0.00473382879421428,-0.00615773905470414,-0.00768375856746357,-0.00930269813979183","0.999999762958751,1.0000022253373,1.00000469262998,1.00000716748388,1.00000964459574,1.00001210335691,1.00001452068899"
511,21603312,21604714,36918858,negative,11,TRUE,94,5116,0,1.00000136652174,0.999989012708407,49286.5927052081,"1,2,3,4,5,6,7","1.36652080406918e-06,-2.50157937298212e-06,-6.43651198206641e-06,-1.05214969545742e-05,-1.4844918190704e-05,-1.94928581782605e-05,-2.44808772267291e-05","-0.00399880625501193,-0.00355551286656472,-0.00444773190396718,-0.00601286948526921,-0.0078344189575577,-0.00980409774869126,-0.0119118769522044","1.00000136652174,0.999997498423756,0.999993563508732,0.999989478558396,0.999985155191995,0.999980507331806,0.999975519422427"
512,21600395,21600747,35205305,negative,13,TRUE,36,690,0,1.00000289146143,0.999996523211943,5381.94888700398,"1,2,3,4,5,6,7","-1.10713459768874e-05,-8.10259538930325e-06,-5.36036646447968e-06,-2.94360177210962e-06,-8.29160223148051e-07,1.07797825954492e-06,2.89145724963191e-06","-0.00749522694756684,-0.00635188030085571,-0.00725744825586024,-0.00944926954976736,-0.0121790942592969,-0.0151866832839879,-0.0184239090821851","0.99998892871531,0.999991897437437,0.999994639647902,0.99999705640256,0.999999170840121,1.00000107797884,1.00000289146143"
513,21600303,21601518,36416501,negative,14,TRUE,111,2025,5,14.4313804967816,5.49941860480555,22962.1017922105,"1,2,3,4,5,6,7","-0.147478533672573,0.372412870790256,0.876055778789672,1.34703244243027,1.80098664938101,2.24574092374118,2.66940503673247","-1.1215150432108,-0.386319571287379,0.187673090295256,0.66005030353227,1.08094586499021,1.41959405812804,1.62372847741138","0.862880961007807,1.45123202893464,2.40140931306796,3.84599536658689,6.05561929090406,9.44741277635585,14.4313804967816"
514,21604415,21604571,36774644,negative,12,TRUE,214,132,0,5947.9763943397,1270.85266183563,2156.31109314819,"1,2,3,4,5,6,7","-1.2643003253515,0.906742598577084,3.08558446706368,5.27588109437662,7.42786217672098,8.6908063389003,6.95233003069842","-18.0839322765323,-12.6343510628393,-9.46913816397529,-7.7282718738705,-6.37881319515488,-5.58256250670271,-7.08830072111017","0.282436840921322,2.47624326348609,21.8802513919207,195.562709828411,1682.20746426203,5947.9763943397,1045.58313292296"
515,21604436,21604713,36919118,negative,12,TRUE,31,707,5,111.175599561952,54.5554585193056,9650.05650691407,"1,2,3,4,5,6,7","1.3380306646185,2.34581150477474,3.30067142680144,4.10720825175689,4.63876474428625,4.71111092933884,4.17646447073333","-3.98957416986691,-1.67668719328393,0.118628969327601,1.55792298626464,2.78990366721905,3.63058791142099,2.17300386963782","3.81152992867227,10.4417428144767,27.130849185833,60.7768069620991,103.416522800702,111.175599561952,65.1351583814036"
516,21604418,21604559,35506601,negative,12,TRUE,153,3966,0,1.00015156591511,0.999715413135504,14732.9825798003,"1,2,3,4,5,6,7","0.000151554430154022,1.98701822267111e-05,-0.000116163798564273,-0.000262991810224378,-0.000424662237065832,-0.00059307984434831,-0.000767248235083784","-0.0366075523312954,-0.0304948220494869,-0.0389427114046284,-0.0553211133779429,-0.0749892490619948,-0.0963218187864996,-0.119009152040981","1.00015156591511,1.00001987037964,0.999883842948189,0.99973704276909,0.99957542791918,0.999407095992739,0.999233046024582"
